Market,Customer,Business Segment,Category,Model,Color,SalesDate,SalesPeriod,ListPrice,UnitPrice,OrderQty,Sales Amount
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-450,Red,01/19/08,01/01/08,"$1,458",$875,4,"$3,499"
Southwest,Fitness Toy Store,Components,Road Frames,LL Road Frame,Red,01/28/08,01/01/08,$337,$184,1,$184
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-650,Red,01/10/08,01/01/08,$783,$419,2,$839
Southwest,Fitness Toy Store,Components,Road Frames,LL Road Frame,Black,01/15/08,01/01/08,$337,$179,2,$357
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-650,Black,01/04/08,01/01/08,$783,$419,1,$419
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-650,Black,01/30/08,01/01/08,$783,$419,2,$839
Southwest,Fitness Toy Store,Components,Road Frames,ML Road Frame,Red,01/07/08,01/01/08,$595,$357,2,$714
Southwest,Fitness Toy Store,Components,Road Frames,LL Road Frame,Black,01/10/08,01/01/08,$337,$179,3,$536
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-150,Red,01/01/08,01/01/08,"$3,578","$2,147",2,"$4,294"
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-450,Red,01/12/08,01/01/08,"$1,458",$875,4,"$3,499"
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-650,Red,01/09/08,01/01/08,$783,$419,6,"$2,517"
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-450,Red,01/09/08,01/01/08,"$1,458",$875,1,$875
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-650,Black,01/17/08,01/01/08,$783,$419,2,$839
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-650,Red,01/20/08,01/01/08,$783,$419,7,"$2,936"
Southwest,Fitness Toy Store,Bikes,Road Bikes,Road-650,Red,01/11/08,01/01/08,$783,$419,3,"$1,258"
Northwest,Basic Bike Company,Components,Road Frames,LL Road Frame,Red,01/12/08,01/01/08,$337,$184,3,$552
Northwest,Basic Bike Company,Components,Road Frames,LL Road Frame,Red,01/28/08,01/01/08,$337,$184,2,$368
Northwest,Basic Bike Company,Accessories,Helmets,Sport-100,Blue,01/01/08,01/01/08,$35,$20,1,$20
Northwest,Basic Bike Company,Accessories,Helmets,Sport-100,Black,01/27/08,01/01/08,$35,$20,1,$20
Northwest,Basic Bike Company,Bikes,Road Bikes,Road-650,Black,01/11/08,01/01/08,$783,$419,1,$419
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Black,01/13/08,01/01/08,$783,$419,3,"$1,258"
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Black,01/21/08,01/01/08,$783,$419,2,$839
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-450,Red,01/08/08,01/01/08,"$1,458",$875,1,$875
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-150,Red,01/27/08,01/01/08,"$3,578","$2,147",1,"$2,147"
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Red,01/20/08,01/01/08,$783,$419,1,$419
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Red,01/15/08,01/01/08,$783,$419,2,$839
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-150,Red,01/02/08,01/01/08,"$3,578","$2,147",2,"$4,294"
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Black,01/24/08,01/01/08,$783,$419,1,$419
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Red,01/01/08,01/01/08,$783,$419,2,$839
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Black,01/15/08,01/01/08,$783,$419,1,$419
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-150,Red,01/12/08,01/01/08,"$3,578","$2,147",2,"$4,294"
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Red,01/24/08,01/01/08,$783,$419,2,$839
Southwest,Separate Parts Corporation,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,01/10/08,01/01/08,$50,$29,2,$58
Southwest,Separate Parts Corporation,Clothing,Caps,Cycling Cap,Multi,01/22/08,01/01/08,$9,$5,3,$16
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Red,01/10/08,01/01/08,$783,$419,2,$839
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Black,01/02/08,01/01/08,$783,$419,1,$419
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Red,01/13/08,01/01/08,$783,$419,1,$419
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-650,Black,01/04/08,01/01/08,$783,$419,1,$419
Southwest,Separate Parts Corporation,Bikes,Road Bikes,Road-150,Red,01/20/08,01/01/08,"$3,578","$2,147",2,"$4,294"
Southwest,Bike Dealers Association,Accessories,Helmets,Sport-100,Blue,01/09/08,01/01/08,$35,$20,2,$40
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-650,Black,01/21/08,01/01/08,$783,$419,1,$419
Southwest,Bike Dealers Association,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,01/02/08,01/01/08,$50,$29,2,$58
Southwest,Bike Dealers Association,Accessories,Helmets,Sport-100,Black,01/02/08,01/01/08,$35,$20,5,$101
Southwest,Bike Dealers Association,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,01/11/08,01/01/08,$50,$29,4,$115
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-650,Black,01/23/08,01/01/08,$783,$419,1,$419
Southwest,Bike Dealers Association,Components,Road Frames,LL Road Frame,Red,01/29/08,01/01/08,$337,$184,4,$736
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-450,Red,01/09/08,01/01/08,"$1,458",$875,3,"$2,624"
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-650,Red,01/22/08,01/01/08,$783,$419,2,$839
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-650,Red,01/18/08,01/01/08,$783,$419,3,"$1,258"
Southwest,Bike Dealers Association,Components,Road Frames,LL Road Frame,Black,01/17/08,01/01/08,$337,$179,2,$357
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-450,Red,01/15/08,01/01/08,"$1,458",$875,1,$875
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-650,Black,01/19/08,01/01/08,$783,$419,4,"$1,678"
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-650,Red,01/27/08,01/01/08,$783,$419,2,$839
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-650,Black,01/05/08,01/01/08,$783,$419,2,$839
Southwest,Bike Dealers Association,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,01/03/08,01/01/08,$50,$29,4,$115
Southwest,Bike Dealers Association,Accessories,Helmets,Sport-100,Red,01/04/08,01/01/08,$35,$20,5,$101
Southwest,Bike Dealers Association,Components,Road Frames,ML Road Frame,Red,01/26/08,01/01/08,$595,$357,2,$714
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-150,Red,01/24/08,01/01/08,"$3,578","$2,147",4,"$8,588"
Southwest,Bike Dealers Association,Components,Road Frames,LL Road Frame,Red,01/23/08,01/01/08,$337,$184,4,$736
Southwest,Bike Dealers Association,Clothing,Caps,Cycling Cap,Multi,01/12/08,01/01/08,$9,$5,5,$26
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-450,Red,01/29/08,01/01/08,"$1,458",$875,1,$875
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-650,Red,01/06/08,01/01/08,$783,$419,2,$839
Southwest,Bike Dealers Association,Bikes,Road Bikes,Road-650,Red,01/25/08,01/01/08,$783,$419,2,$839
Northeast,Curbside Universe,Components,Road Frames,LL Road Frame,Red,01/06/08,01/01/08,$337,$184,3,$552
Northeast,Curbside Universe,Components,Road Frames,LL Road Frame,Black,01/14/08,01/01/08,$337,$179,1,$179
Northeast,Curbside Universe,Clothing,Caps,Cycling Cap,Multi,01/07/08,01/01/08,$9,$5,2,$10
Northeast,Curbside Universe,Bikes,Road Bikes,Road-150,Red,01/29/08,01/01/08,"$3,578","$2,147",1,"$2,147"
Northeast,Curbside Universe,Components,Road Frames,LL Road Frame,Red,01/18/08,01/01/08,$337,$184,1,$184
Northeast,Curbside Universe,Accessories,Helmets,Sport-100,Red,01/18/08,01/01/08,$35,$20,1,$20
Southwest,Grease and Oil Products Company,Bikes,Road Bikes,Road-650,Black,01/31/08,01/01/08,$783,$419,2,$839
Southwest,Grease and Oil Products Company,Bikes,Road Bikes,Road-650,Red,01/07/08,01/01/08,$783,$419,1,$419
Southwest,Grease and Oil Products Company,Bikes,Road Bikes,Road-650,Red,01/11/08,01/01/08,$783,$419,2,$839
Southeast,Juvenile Sports Equipment,Clothing,Caps,Cycling Cap,Multi,01/22/08,01/01/08,$9,$5,1,$5
Southeast,Juvenile Sports Equipment,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,01/25/08,01/01/08,$50,$29,1,$29
Southeast,Juvenile Sports Equipment,Bikes,Mountain Bikes,Mountain-100,Black,01/19/08,01/01/08,"$3,375","$2,025",2,"$4,050"
Southeast,Juvenile Sports Equipment,Bikes,Mountain Bikes,Mountain-100,Silver,01/18/08,01/01/08,"$3,400","$2,040",2,"$4,080"
Northwest,Fifth Bike Store,Bikes,Road Bikes,Road-650,Black,01/13/08,01/01/08,$783,$419,2,$839
Northwest,Fifth Bike Store,Bikes,Road Bikes,Road-650,Red,01/09/08,01/01/08,$783,$419,1,$419
Northwest,Fifth Bike Store,Bikes,Road Bikes,Road-450,Red,01/05/08,01/01/08,"$1,458",$875,1,$875
Southwest,Vehicle Shop,Bikes,Road Bikes,Road-650,Black,01/17/08,01/01/08,$783,$419,1,$419
Southwest,Vehicle Shop,Bikes,Road Bikes,Road-650,Red,01/26/08,01/01/08,$783,$419,1,$419
Northwest,Capable Sales and Service,Bikes,Mountain Bikes,Mountain-100,Black,01/09/08,01/01/08,"$3,375","$2,025",3,"$6,075"
Northwest,Capable Sales and Service,Bikes,Mountain Bikes,Mountain-100,Silver,01/21/08,01/01/08,"$3,400","$2,040",2,"$4,080"
Northwest,Capable Sales and Service,Bikes,Mountain Bikes,Mountain-100,Black,01/20/08,01/01/08,"$3,375","$2,025",4,"$8,100"
Northwest,Capable Sales and Service,Bikes,Mountain Bikes,Mountain-100,Silver,01/17/08,01/01/08,"$3,400","$2,040",4,"$8,160"
Northwest,Capable Sales and Service,Bikes,Mountain Bikes,Mountain-100,Black,01/07/08,01/01/08,"$3,375","$2,025",5,"$10,125"
Northwest,Capable Sales and Service,Bikes,Mountain Bikes,Mountain-100,Silver,01/24/08,01/01/08,"$3,400","$2,040",2,"$4,080"
Northwest,Capable Sales and Service,Clothing,Socks,Mountain Bike Socks,White,01/15/08,01/01/08,$10,$6,5,$29
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-650,Red,01/31/08,01/01/08,$783,$419,2,$839
Southeast,Bike Rims Company,Accessories,Helmets,Sport-100,Blue,01/29/08,01/01/08,$35,$20,1,$20
Southeast,Bike Rims Company,Components,Road Frames,ML Road Frame,Red,01/27/08,01/01/08,$595,$357,1,$357
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-450,Red,01/06/08,01/01/08,"$1,458",$875,2,"$1,750"
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-450,Red,01/28/08,01/01/08,"$1,458",$875,2,"$1,750"
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-650,Black,01/26/08,01/01/08,$783,$419,2,$839
Southeast,Bike Rims Company,Accessories,Helmets,Sport-100,Black,01/10/08,01/01/08,$35,$20,2,$40
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-650,Black,01/10/08,01/01/08,$783,$419,1,$419
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-650,Red,01/17/08,01/01/08,$783,$419,2,$839
Southeast,Bike Rims Company,Components,Road Frames,LL Road Frame,Red,01/27/08,01/01/08,$337,$184,2,$368
Southeast,Bike Rims Company,Clothing,Caps,Cycling Cap,Multi,01/04/08,01/01/08,$9,$5,2,$10
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-150,Red,01/10/08,01/01/08,"$3,578","$2,147",2,"$4,294"
Southeast,Bike Rims Company,Accessories,Helmets,Sport-100,Red,01/18/08,01/01/08,$35,$20,1,$20
Southeast,Bike Rims Company,Components,Road Frames,LL Road Frame,Red,01/12/08,01/01/08,$337,$184,1,$184
Southeast,Bike Rims Company,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,01/12/08,01/01/08,$50,$29,4,$115
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-650,Black,01/02/08,01/01/08,$783,$419,2,$839
Southeast,Bike Rims Company,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,01/08/08,01/01/08,$50,$29,2,$58
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-650,Red,01/19/08,01/01/08,$783,$419,1,$419
Southeast,Bike Rims Company,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,01/18/08,01/01/08,$50,$29,2,$58
Southeast,Bike Rims Company,Bikes,Road Bikes,Road-450,Red,01/23/08,01/01/08,"$1,458",$875,3,"$2,624"
Southwest,Riding Excursions,Bikes,Road Bikes,Road-650,Red,01/03/08,01/01/08,$783,$419,1,$419
Southeast,Simple Bike Parts,Bikes,Road Bikes,Road-650,Black,01/16/08,01/01/08,$783,$419,1,$419
Southeast,Clamps & Brackets Co.,Bikes,Mountain Bikes,Mountain-100,Black,01/23/08,01/01/08,"$3,375","$2,025",2,"$4,050"
Southeast,Clamps & Brackets Co.,Bikes,Mountain Bikes,Mountain-100,Black,01/09/08,01/01/08,"$3,375","$2,025",2,"$4,050"
Southeast,Clamps & Brackets Co.,Bikes,Mountain Bikes,Mountain-100,Silver,01/30/08,01/01/08,"$3,400","$2,040",2,"$4,080"
Southeast,Clamps & Brackets Co.,Clothing,Socks,Mountain Bike Socks,White,01/28/08,01/01/08,$10,$6,9,$51
Northeast,Convenient Bike Shop,Bikes,Road Bikes,Road-650,Black,01/31/08,01/01/08,$783,$419,4,"$1,678"
Northeast,Convenient Bike Shop,Bikes,Road Bikes,Road-650,Black,01/27/08,01/01/08,$783,$419,1,$419
Northeast,Convenient Bike Shop,Bikes,Road Bikes,Road-650,Red,01/14/08,01/01/08,$783,$419,3,"$1,258"
Northeast,Convenient Bike Shop,Bikes,Road Bikes,Road-650,Red,01/21/08,01/01/08,$783,$419,2,$839
Northeast,Convenient Bike Shop,Bikes,Road Bikes,Road-450,Red,01/22/08,01/01/08,"$1,458",$875,5,"$4,374"
Northeast,Convenient Bike Shop,Bikes,Road Bikes,Road-650,Red,01/21/08,01/01/08,$783,$419,1,$419
Northeast,Convenient Bike Shop,Bikes,Road Bikes,Road-450,Red,01/09/08,01/01/08,"$1,458",$875,1,$875
Northeast,Convenient Bike Shop,Bikes,Road Bikes,Road-650,Red,01/04/08,01/01/08,$783,$419,3,"$1,258"
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Black,01/01/08,01/01/08,$783,$419,2,$839
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-150,Red,01/12/08,01/01/08,"$3,578","$2,147",2,"$4,294"
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-150,Red,01/07/08,01/01/08,"$3,578","$2,147",5,"$10,735"
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Black,01/16/08,01/01/08,$783,$419,3,"$1,258"
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Red,01/23/08,01/01/08,$783,$419,1,$419
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Black,01/23/08,01/01/08,$783,$419,1,$419
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Red,01/02/08,01/01/08,$783,$419,2,$839
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Black,01/11/08,01/01/08,$783,$419,2,$839
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-150,Red,01/30/08,01/01/08,"$3,578","$2,147",2,"$4,294"
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Red,01/24/08,01/01/08,$783,$419,2,$839
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Black,01/27/08,01/01/08,$783,$419,1,$419
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-450,Red,01/19/08,01/01/08,"$1,458",$875,2,"$1,750"
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-450,Red,01/28/08,01/01/08,"$1,458",$875,1,$875
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-150,Red,01/22/08,01/01/08,"$3,578","$2,147",1,"$2,147"
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Black,01/01/08,01/01/08,$783,$419,1,$419
Southwest,Area Bike Accessories,Bikes,Road Bikes,Road-650,Red,01/16/08,01/01/08,$783,$419,2,$839
Southwest,Area Bike Accessories,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,01/12/08,01/01/08,$50,$29,2,$58
Northwest,Great Bikes,Bikes,Mountain Bikes,Mountain-100,Silver,01/14/08,01/01/08,"$3,400","$2,040",4,"$8,160"
Northwest,Great Bikes,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,01/15/08,01/01/08,$50,$29,4,$115
Northwest,Great Bikes,Clothing,Socks,Mountain Bike Socks,White,01/28/08,01/01/08,$10,$6,4,$23
Northwest,Great Bikes,Bikes,Mountain Bikes,Mountain-100,Black,01/02/08,01/01/08,"$3,375","$2,025",4,"$8,100"
Northwest,Great Bikes,Bikes,Mountain Bikes,Mountain-100,Silver,01/03/08,01/01/08,"$3,400","$2,040",2,"$4,080"
Northwest,Great Bikes,Bikes,Mountain Bikes,Mountain-100,Silver,01/16/08,01/01/08,"$3,400","$2,040",2,"$4,080"
Northwest,Great Bikes,Bikes,Mountain Bikes,Mountain-100,Silver,01/13/08,01/01/08,"$3,400","$2,040",8,"$16,320"
Northwest,Great Bikes,Clothing,Caps,Cycling Cap,Multi,01/03/08,01/01/08,$9,$5,1,$5
Northwest,Great Bikes,Bikes,Mountain Bikes,Mountain-100,Black,01/21/08,01/01/08,"$3,375","$2,025",4,"$8,100"
Northwest,Great Bikes,Bikes,Mountain Bikes,Mountain-100,Black,01/06/08,01/01/08,"$3,375","$2,025",2,"$4,050"
Southwest,World Bike Discount Store,Bikes,Road Bikes,Road-650,Black,01/13/08,01/01/08,$783,$419,1,$419
Southwest,Wheel Gallery,Components,Road Frames,LL Road Frame,Black,01/26/08,01/01/08,$337,$179,2,$357
Southwest,Wheel Gallery,Bikes,Road Bikes,Road-150,Red,01/29/08,01/01/08,"$3,578","$2,147",1,"$2,147"
Southwest,Wheel Gallery,Bikes,Road Bikes,Road-650,Black,01/13/08,01/01/08,$783,$419,2,$839
Southwest,Wheel Gallery,Bikes,Road Bikes,Road-450,Red,01/03/08,01/01/08,"$1,458",$875,1,$875
Southwest,Wheel Gallery,Bikes,Road Bikes,Road-650,Red,01/28/08,01/01/08,$783,$419,1,$419
Southwest,Wheel Gallery,Bikes,Road Bikes,Road-650,Black,01/13/08,01/01/08,$783,$419,1,$419
Southeast,Daring Rides,Bikes,Road Bikes,Road-650,Black,01/16/08,01/01/08,$783,$419,2,$839
Southeast,Daring Rides,Bikes,Road Bikes,Road-150,Red,01/08/08,01/01/08,"$3,578","$2,147",1,"$2,147"
Southeast,Daring Rides,Bikes,Road Bikes,Road-650,Red,01/15/08,01/01/08,$783,$419,1,$419
Southeast,Daring Rides,Bikes,Road Bikes,Road-650,Red,01/01/08,01/01/08,$783,$419,1,$419
Southeast,Daring Rides,Bikes,Road Bikes,Road-450,Red,01/04/08,01/01/08,"$1,458",$875,1,$875
Southeast,Daring Rides,Bikes,Road Bikes,Road-450,Red,01/12/08,01/01/08,"$1,458",$875,3,"$2,624"
Southeast,Daring Rides,Bikes,Road Bikes,Road-650,Red,01/29/08,01/01/08,$783,$419,5,"$2,097"
Southeast,Daring Rides,Bikes,Road Bikes,Road-650,Black,01/25/08,01/01/08,$783,$419,1,$419
Southeast,Daring Rides,Bikes,Road Bikes,Road-650,Black,01/29/08,01/01/08,$783,$419,2,$839
Southeast,Daring Rides,Bikes,Road Bikes,Road-150,Red,01/18/08,01/01/08,"$3,578","$2,147",4,"$8,588"
Southeast,Daring Rides,Bikes,Road Bikes,Road-450,Red,01/07/08,01/01/08,"$1,458",$875,1,$875
Southeast,Daring Rides,Bikes,Road Bikes,Road-650,Black,01/12/08,01/01/08,$783,$419,2,$839
Southeast,Daring Rides,Bikes,Road Bikes,Road-650,Red,01/22/08,01/01/08,$783,$419,1,$419
Southeast,Daring Rides,Bikes,Road Bikes,Road-450,Red,01/28/08,01/01/08,"$1,458",$875,2,"$1,750"
Southeast,Daring Rides,Bikes,Road Bikes,Road-450,Red,01/27/08,01/01/08,"$1,458",$875,1,$875
Northwest,Synthetic Materials Manufacturing,Bikes,Road Bikes,Road-650,Black,01/18/08,01/01/08,$783,$419,1,$419
Northwest,The Bike Shop,Components,Mountain Frames,HL Mountain Frame,Silver,01/25/08,01/01/08,"$1,365",$723,2,"$1,445"
Northwest,The Bike Shop,Components,Mountain Frames,HL Mountain Frame,Black,01/14/08,01/01/08,"$1,350",$810,1,$810
Northwest,The Bike Shop,Bikes,Mountain Bikes,Mountain-100,Silver,01/29/08,01/01/08,"$3,400","$2,040",1,"$2,040"
Northeast,Seventh Bike Store,Bikes,Road Bikes,Road-450,Red,01/01/08,01/01/08,"$1,458",$875,2,"$1,750"
Northeast,Seventh Bike Store,Bikes,Road Bikes,Road-650,Red,01/10/08,01/01/08,$783,$419,2,$839
Northeast,Seventh Bike Store,Bikes,Road Bikes,Road-650,Black,01/27/08,01/01/08,$783,$419,5,"$2,097"
Northeast,Seventh Bike Store,Bikes,Road Bikes,Road-650,Black,01/25/08,01/01/08,$783,$419,1,$419
Northeast,Seventh Bike Store,Clothing,Jerseys,Long-Sleeve Logo Jersey,Multi,01/01/08,01/01/08,$50,$29,1,$29
