Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
"15000.00","2017-01-01","Debt consolidation","","14.29%","372xx","TN","n/a","0"
"14000.00","2017-01-01","Debt consolidation","668","10.84%","752xx","TX","< 1 year","0"
"1000.00","2017-01-01","small_business","","-1%","403xx","KY","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","29.88%","927xx","CA","< 1 year","0"
"2000.00","2017-01-01","Debt consolidation","647","14.4%","785xx","TX","< 1 year","0"
"5000.00","2017-01-01","other","","7.52%","421xx","KY","< 1 year","0"
"10000.00","2017-01-01","other","","15.32%","113xx","NY","< 1 year","0"
"2000.00","2017-01-01","credit_card","","14.13%","456xx","OH","n/a","0"
"10000.00","2017-01-01","Business","706","14.92%","852xx","AZ","< 1 year","0"
"1000.00","2017-01-01","debt_consolidation","","15.09%","604xx","IL","< 1 year","0"
"35000.00","2017-01-01","home_improvement","","-1%","930xx","CA","5 years","0"
"3000.00","2017-01-01","Debt consolidation","556","23.41%","235xx","VA","< 1 year","0"
"1500.00","2017-01-01","home_improvement","","4.96%","457xx","OH","< 1 year","0"
"6000.00","2017-01-01","medical","","46.95%","139xx","NY","5 years","0"
"5000.00","2017-01-01","Business","618","1.22%","760xx","TX","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","32.71%","361xx","AL","5 years","0"
"10000.00","2017-01-01","Major purchase","659","0.83%","104xx","NY","< 1 year","0"
"4000.00","2017-01-01","other","","-1%","133xx","NY","5 years","0"
"15000.00","2017-01-01","Business","535","31.06%","707xx","LA","< 1 year","0"
"10000.00","2017-01-01","Major purchase","704","7.51%","104xx","NY","< 1 year","0"
"13000.00","2017-01-01","car","","-1%","810xx","CO","5 years","0"
"2000.00","2017-01-01","Other","688","4.15%","652xx","MO","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","65.45%","606xx","IL","< 1 year","0"
"20000.00","2017-01-01","Medical expenses","611","51.77%","917xx","CA","< 1 year","0"
"30000.00","2017-01-01","Credit card refinancing","811","116.77%","953xx","CA","< 1 year","0"
"1500.00","2017-01-01","debt_consolidation","","21.86%","945xx","CA","< 1 year","0"
"7500.00","2017-01-01","debt_consolidation","","38.4%","352xx","AL","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","28.21%","704xx","LA","< 1 year","0"
"10000.00","2017-01-01","moving","","18.2%","871xx","NM","n/a","0"
"3000.00","2017-01-01","Other","524","5.54%","293xx","SC","< 1 year","0"
"5000.00","2017-01-01","Debt consolidation","574","33.08%","112xx","NY","< 1 year","0"
"10000.00","2017-01-01","Major purchase","886","1.17%","940xx","CA","< 1 year","0"
"3500.00","2017-01-01","major_purchase","","4.14%","060xx","CT","5 years","0"
"5000.00","2017-01-01","moving","","0%","751xx","TX","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","6.88%","805xx","CO","< 1 year","0"
"9000.00","2017-01-01","Debt consolidation","618","113.12%","362xx","AL","< 1 year","0"
"1000.00","2017-01-01","debt_consolidation","","37.2%","551xx","MN","< 1 year","0"
"3000.00","2017-01-01","car","","13.84%","187xx","PA","< 1 year","0"
"20000.00","2017-01-01","credit_card","","16.83%","950xx","CA","5 years","0"
"35000.00","2017-01-01","Home improvement","659","5.92%","330xx","FL","< 1 year","0"
"2000.00","2017-01-01","home_improvement","","21.68%","112xx","NY","< 1 year","0"
"27000.00","2017-01-01","credit_card","","-1%","940xx","CA","5 years","0"
"5000.00","2017-01-01","moving","","203.37%","233xx","VA","< 1 year","0"
"7000.00","2017-01-01","credit_card","","37.63%","891xx","NV","5 years","0"
"30000.00","2017-01-01","Debt consolidation","575","32.55%","067xx","CT","< 1 year","0"
"10000.00","2017-01-01","Debt consolidation","601","29.58%","750xx","TX","< 1 year","0"
"40000.00","2017-01-01","Major purchase","653","7.1%","368xx","AL","< 1 year","0"
"1000.00","2017-01-01","small_business","","97.36%","907xx","CA","< 1 year","0"
"35000.00","2017-01-01","credit_card","","-1%","968xx","HI","5 years","0"
"5025.00","2017-01-01","credit_card","","13.01%","952xx","CA","5 years","0"
"18400.00","2017-01-01","Car financing","641","100%","766xx","TX","< 1 year","0"
"4000.00","2017-01-01","credit_card","","18.77%","270xx","NC","5 years","0"
"30000.00","2017-01-01","credit_card","","22.14%","926xx","CA","< 1 year","0"
"6000.00","2017-01-01","Debt consolidation","590","32.89%","532xx","WI","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","6.89%","328xx","FL","< 1 year","0"
"6000.00","2017-01-01","other","","7.8%","729xx","AR","5 years","0"
"8000.00","2017-01-01","Debt consolidation","577","26.24%","296xx","SC","< 1 year","0"
"8000.00","2017-01-01","major_purchase","","3.42%","542xx","WI","5 years","0"
"36000.00","2017-01-01","other","","12.2%","913xx","CA","< 1 year","0"
"35000.00","2017-01-01","home_improvement","","28.08%","185xx","PA","n/a","0"
"2500.00","2017-01-01","other","","25.29%","042xx","ME","< 1 year","0"
"10000.00","2017-01-01","Credit card refinancing","620","16.04%","853xx","AZ","< 1 year","0"
"25000.00","2017-01-01","credit_card","","46.28%","996xx","AK","n/a","0"
"5000.00","2017-01-01","Debt consolidation","690","4.65%","186xx","PA","< 1 year","0"
"5000.00","2017-01-01","credit_card","","8.35%","984xx","WA","5 years","0"
"6500.00","2017-01-01","Debt consolidation","563","16.33%","376xx","TN","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","38.56%","454xx","OH","< 1 year","0"
"5000.00","2017-01-01","car","","6.05%","371xx","TN","< 1 year","0"
"1000.00","2017-01-01","home_improvement","","6.8%","379xx","TN","< 1 year","0"
"30000.00","2017-01-01","home_improvement","","26.64%","436xx","OH","< 1 year","0"
"20000.00","2017-01-01","debt_consolidation","","22.91%","600xx","IL","n/a","0"
"25000.00","2017-01-01","debt_consolidation","","3.35%","937xx","CA","5 years","0"
"15000.00","2017-01-01","Debt consolidation","593","28.46%","483xx","MI","< 1 year","0"
"30000.00","2017-01-01","Business","635","10.35%","982xx","WA","< 1 year","0"
"35000.00","2017-01-01","credit_card","","53.45%","967xx","HI","5 years","0"
"3000.00","2017-01-01","other","","2.12%","471xx","IN","< 1 year","0"
"7000.00","2017-01-01","debt_consolidation","645","39.67%","409xx","KY","< 1 year","0"
"1000.00","2017-01-01","other","","1.3%","481xx","MI","5 years","0"
"7000.00","2017-01-01","debt_consolidation","","23.74%","492xx","MI","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","41.73%","200xx","DC","5 years","0"
"8000.00","2017-01-01","credit_card","","20.4%","953xx","CA","5 years","0"
"10000.00","2017-01-01","car","","-1%","322xx","FL","< 1 year","0"
"40000.00","2017-01-01","Green loan","768","7.56%","376xx","TN","< 1 year","0"
"1000.00","2017-01-01","medical","","23.73%","604xx","IL","< 1 year","0"
"40000.00","2017-01-01","other","","12.66%","303xx","GA","< 1 year","0"
"4000.00","2017-01-01","credit_card","","11.82%","300xx","GA","5 years","0"
"15000.00","2017-01-01","Debt consolidation","580","24.7%","864xx","AZ","< 1 year","0"
"1000.00","2017-01-01","debt_consolidation","","1.5%","232xx","VA","5 years","0"
"1000.00","2017-01-01","credit_card","","8.07%","319xx","GA","< 1 year","0"
"3175.00","2017-01-01","major_purchase","","-1%","970xx","OR","< 1 year","0"
"1000.00","2017-01-01","car","","0%","837xx","ID","5 years","0"
"4000.00","2017-01-01","other","","1.94%","100xx","NY","< 1 year","0"
"25000.00","2017-01-01","Green loan","768","9.85%","376xx","TN","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","3.32%","707xx","LA","< 1 year","0"
"15000.00","2017-01-01","debt_consolidation","","41.88%","684xx","NE","< 1 year","0"
"10000.00","2017-01-01","small_business","","-1%","302xx","GA","< 1 year","0"
"4000.00","2017-01-01","credit_card","","25.57%","488xx","MI","5 years","0"
"40000.00","2017-01-01","Home improvement","633","26.01%","019xx","MA","< 1 year","0"
"6000.00","2017-01-01","Debt consolidation","572","30.19%","880xx","NM","< 1 year","0"
"2000.00","2017-01-01","debt_consolidation","","22.76%","729xx","AR","5 years","0"
"3000.00","2017-01-01","debt_consolidation","","16.68%","104xx","NY","< 1 year","0"
"1500.00","2017-01-01","credit_card","","15.25%","233xx","VA","5 years","0"
"2000.00","2017-01-01","Debt consolidation","660","17.6%","402xx","KY","< 1 year","0"
"1000.00","2017-01-01","Home buying","581","22.94%","497xx","MI","< 1 year","0"
"10000.00","2017-01-01","Debt consolidation","893","69.48%","750xx","TX","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","11.91%","322xx","FL","n/a","0"
"28000.00","2017-01-01","house","","9.4%","800xx","CO","5 years","0"
"3000.00","2017-01-01","vacation","","16.2%","300xx","GA","< 1 year","0"
"5500.00","2017-01-01","Car financing","","100%","852xx","AZ","< 1 year","0"
"15000.00","2017-01-01","house","","7.49%","294xx","SC","5 years","0"
"3000.00","2017-01-01","debt_consolidation","","22.48%","402xx","KY","< 1 year","0"
"8000.00","2017-01-01","debt_consolidation","","16.23%","208xx","MD","< 1 year","0"
"15000.00","2017-01-01","credit_card","","15.92%","891xx","NV","5 years","0"
"35000.00","2017-01-01","major_purchase","","10.17%","825xx","WY","< 1 year","0"
"4500.00","2017-01-01","car","","12.6%","038xx","NH","n/a","0"
"5000.00","2017-01-01","Debt consolidation","528","0%","611xx","IL","< 1 year","0"
"2000.00","2017-01-01","moving","","-1%","370xx","TN","5 years","0"
"10000.00","2017-01-01","Business","521","18.33%","190xx","PA","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","23.42%","423xx","KY","< 1 year","0"
"40000.00","2017-01-01","Home buying","612","8.36%","316xx","GA","< 1 year","0"
"30000.00","2017-01-01","Business Loan","","-1%","980xx","WA","< 1 year","0"
"1000.00","2017-01-01","debt_consolidation","","0.59%","491xx","MI","< 1 year","0"
"6000.00","2017-01-01","debt_consolidation","","14.16%","744xx","OK","5 years","0"
"5000.00","2017-01-01","Medical expenses","715","55.37%","937xx","CA","< 1 year","0"
"10000.00","2017-01-01","Debt consolidation","768","9.85%","376xx","TN","< 1 year","0"
"1000.00","2017-01-01","moving","","19.24%","945xx","CA","5 years","0"
"1000.00","2017-01-01","house","","17.23%","432xx","OH","5 years","0"
"1500.00","2017-01-01","Major purchase","623","0%","162xx","PA","< 1 year","0"
"40000.00","2017-01-01","Major purchase","685","4.56%","770xx","TX","< 1 year","0"
"40000.00","2017-01-01","Home buying","643","19.83%","782xx","TX","< 1 year","0"
"10000.00","2017-01-01","Credit card refinancing","666","29.28%","902xx","CA","< 1 year","0"
"21500.00","2017-01-01","major_purchase","","1.42%","137xx","NY","5 years","0"
"2500.00","2017-01-01","Other","503","19.18%","967xx","HI","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","14.6%","945xx","CA","5 years","0"
"7200.00","2017-01-01","credit_card","","17.65%","104xx","NY","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","77.25%","320xx","FL","< 1 year","0"
"15000.00","2017-01-01","Debt consolidation","600","19.15%","294xx","SC","< 1 year","0"
"1000.00","2017-01-01","other","","1.15%","016xx","MA","5 years","0"
"40000.00","2017-01-01","Home improvement","","100%","296xx","SC","< 1 year","0"
"2000.00","2017-01-01","Debt consolidation","","15.45%","402xx","KY","2 years","0"
"1500.00","2017-01-01","vacation","","40.97%","992xx","WA","5 years","0"
"4000.00","2017-01-01","Car financing","","9.36%","923xx","CA","3 years","0"
"25000.00","2017-01-01","debt_consolidation","","47.49%","296xx","SC","< 1 year","0"
"15000.00","2017-01-01","car","","7.39%","581xx","ND","< 1 year","0"
"2500.00","2017-01-01","debt_consolidation","","4%","155xx","PA","< 1 year","0"
"15000.00","2017-01-01","debt_consolidation","","25.17%","905xx","CA","5 years","0"
"6500.00","2017-01-01","credit_card","","-1%","926xx","CA","5 years","0"
"5000.00","2017-01-01","debt_consolidation","","-1%","486xx","MI","< 1 year","0"
"2500.00","2017-01-01","debt_consolidation","","11.04%","324xx","FL","< 1 year","0"
"1000.00","2017-01-01","other","","1%","366xx","AL","< 1 year","0"
"25000.00","2017-01-01","credit_card","","55.97%","782xx","TX","n/a","0"
"10000.00","2017-01-01","Other","758","6.94%","069xx","CT","< 1 year","0"
"15000.00","2017-01-01","home_improvement","","16.08%","342xx","FL","< 1 year","0"
"10000.00","2017-01-01","other","","1000%","920xx","CA","< 1 year","0"
"35000.00","2017-01-01","home_improvement","","-1%","980xx","WA","n/a","0"
"40000.00","2017-01-01","other","","47.5%","390xx","MS","< 1 year","0"
"1000.00","2017-01-01","Other","591","100%","856xx","AZ","< 1 year","0"
"35000.00","2017-01-01","debt_consolidation","","39.83%","190xx","PA","< 1 year","0"
"1000.00","2017-01-01","Medical expenses","531","17.13%","790xx","TX","< 1 year","0"
"1000.00","2017-01-01","Other","524","0.6%","179xx","PA","< 1 year","0"
"7000.00","2017-01-01","debt_consolidation","","45.47%","902xx","CA","5 years","0"
"10000.00","2017-01-01","Car financing","","100%","040xx","ME","< 1 year","0"
"40000.00","2017-01-01","other","","4.76%","020xx","MA","< 1 year","0"
"8000.00","2017-01-01","Debt consolidation","657","8.1%","891xx","NV","< 1 year","0"
"15000.00","2017-01-01","moving","","0%","919xx","CA","5 years","0"
"1000.00","2017-01-01","other","","71.08%","765xx","TX","5 years","0"
"2000.00","2017-01-01","debt_consolidation","","14.91%","853xx","AZ","< 1 year","0"
"10000.00","2017-01-01","Home buying","705","7.61%","023xx","MA","< 1 year","0"
"21000.00","2017-01-01","debt_consolidation","","2.85%","420xx","KY","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","14.5%","388xx","MS","< 1 year","0"
"20000.00","2017-01-01","credit_card","","33.14%","590xx","MT","5 years","0"
"2000.00","2017-01-01","car","","12.46%","809xx","CO","5 years","0"
"10000.00","2017-01-01","Debt consolidation","592","1.78%","371xx","TN","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","10.5%","934xx","CA","< 1 year","0"
"20000.00","2017-01-01","credit_card","","14.11%","967xx","HI","< 1 year","0"
"10000.00","2017-01-01","other","","-1%","402xx","KY","< 1 year","0"
"20000.00","2017-01-01","Debt consolidation","551","70.28%","486xx","MI","< 1 year","0"
"20000.00","2017-01-01","Debt consolidation","628","16.37%","484xx","MI","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","18.92%","152xx","PA","< 1 year","0"
"1000.00","2017-01-01","other","","-1%","650xx","MO","< 1 year","0"
"25000.00","2017-01-01","debt_consolidation","","72.19%","586xx","ND","< 1 year","0"
"15000.00","2017-01-01","other","","2.05%","906xx","CA","5 years","0"
"20000.00","2017-01-01","Business Loan","","-1%","117xx","NY","< 1 year","0"
"3000.00","2017-01-01","Medical expenses","636","34.72%","194xx","PA","< 1 year","0"
"20000.00","2017-01-01","Debt consolidation","661","10.39%","958xx","CA","< 1 year","0"
"8000.00","2017-01-01","debt_consolidation","","32.26%","750xx","TX","< 1 year","0"
"20000.00","2017-01-01","debt_consolidation","","8.75%","467xx","IN","< 1 year","0"
"5000.00","2017-01-01","moving","577","44.96%","148xx","NY","< 1 year","0"
"15000.00","2017-01-01","Credit card refinancing","832","11.44%","334xx","FL","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","74.54%","704xx","LA","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","12.45%","770xx","TX","< 1 year","0"
"3000.00","2017-01-01","car","","16.97%","286xx","NC","< 1 year","0"
"30000.00","2017-01-01","other","","22.05%","083xx","NJ","< 1 year","0"
"40000.00","2017-01-01","debt_consolidation","","54.8%","416xx","KY","n/a","0"
"2000.00","2017-01-01","Moving and relocation","610","140.99%","061xx","CT","< 1 year","0"
"20000.00","2017-01-01","debt_consolidation","","21.68%","800xx","CO","< 1 year","0"
"3500.00","2017-01-01","Vacation","665","7.34%","474xx","IN","< 1 year","0"
"13500.00","2017-01-01","debt_consolidation","","23.29%","076xx","NJ","< 1 year","0"
"20000.00","2017-01-01","credit_card","","22.47%","352xx","AL","5 years","0"
"10500.00","2017-01-01","other","","11.98%","923xx","CA","5 years","0"
"1000.00","2017-01-01","Home improvement","","1.43%","330xx","FL","5 years","0"
"1000.00","2017-01-01","other","","3.7%","355xx","AL","n/a","0"
"20000.00","2017-01-01","debt_consolidation","","13.54%","430xx","OH","5 years","0"
"5000.00","2017-01-01","debt_consolidation","","-1%","481xx","MI","< 1 year","0"
"30000.00","2017-01-01","Debt consolidation","661","33.96%","394xx","MS","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","234.86%","488xx","MI","< 1 year","0"
"2000.00","2017-01-01","moving","","1.67%","973xx","OR","< 1 year","0"
"15000.00","2017-01-01","debt_consolidation","","-1%","750xx","TX","< 1 year","0"
"3000.00","2017-01-01","other","","15660%","191xx","PA","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","6.45%","199xx","DE","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","10.9%","104xx","NY","< 1 year","0"
"15000.00","2017-01-01","home_improvement","","3.02%","946xx","CA","< 1 year","0"
"8000.00","2017-01-01","home_improvement","","15.27%","300xx","GA","< 1 year","0"
"1000.00","2017-01-01","other","","4.86%","301xx","GA","< 1 year","0"
"30000.00","2017-01-01","Debt consolidation","663","17.58%","770xx","TX","< 1 year","0"
"1000.00","2017-01-01","other","","-1%","751xx","TX","5 years","0"
"1000.00","2017-01-01","debt_consolidation","","58.28%","294xx","SC","5 years","0"
"1000.00","2017-01-01","car","","19.85%","303xx","GA","5 years","0"
"30000.00","2017-01-01","Debt consolidation","618","20.32%","900xx","CA","6 years","0"
"15000.00","2017-01-01","Vacation","635","5.45%","100xx","NY","< 1 year","0"
"40000.00","2017-01-01","other","","17.42%","778xx","TX","< 1 year","0"
"1000.00","2017-01-01","Other","609","24.59%","038xx","NH","< 1 year","0"
"30000.00","2017-01-01","credit_card","","-1%","301xx","GA","5 years","0"
"5000.00","2017-01-01","Credit card refinancing","575","141.67%","331xx","FL","< 1 year","0"
"5000.00","2017-01-01","moving","","52.13%","778xx","TX","< 1 year","0"
"5000.00","2017-01-01","other","","41.37%","967xx","HI","n/a","0"
"20000.00","2017-01-01","debt_consolidation","","27.24%","972xx","OR","< 1 year","0"
"45000.00","2017-01-01","Business Loan","","-1%","365xx","AL","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","19.71%","071xx","NJ","< 1 year","0"
"15000.00","2017-01-01","debt_consolidation","","44.32%","330xx","FL","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","15.58%","173xx","PA","< 1 year","0"
"6100.00","2017-01-01","other","","58.9%","236xx","VA","< 1 year","0"
"20000.00","2017-01-01","debt_consolidation","","168.55%","601xx","IL","n/a","0"
"10000.00","2017-01-01","credit_card","","6.96%","206xx","MD","5 years","0"
"12000.00","2017-01-01","debt_consolidation","","-1%","199xx","DE","< 1 year","0"
"1500.00","2017-01-01","other","","17.5%","291xx","SC","< 1 year","0"
"8000.00","2017-01-01","debt_consolidation","","13.21%","042xx","ME","< 1 year","0"
"8000.00","2017-01-01","debt_consolidation","","5.92%","019xx","MA","5 years","0"
"7500.00","2017-01-01","debt_consolidation","","47.6%","864xx","AZ","n/a","0"
"5000.00","2017-01-01","debt_consolidation","","15.42%","347xx","FL","< 1 year","0"
"2500.00","2017-01-01","car","","-1%","366xx","AL","< 1 year","0"
"5000.00","2017-01-01","car","","1.73%","532xx","WI","< 1 year","0"
"20000.00","2017-01-01","Car financing","498","5.68%","379xx","TN","< 1 year","0"
"10000.00","2017-01-01","home_improvement","","61.4%","300xx","GA","< 1 year","0"
"10000.00","2017-01-01","other","","0.67%","951xx","CA","< 1 year","0"
"3500.00","2017-01-01","debt_consolidation","","-1%","963xx","CA","< 1 year","0"
"5000.00","2017-01-01","other","","1.15%","324xx","FL","n/a","0"
"3000.00","2017-01-01","Home improvement","646","8.36%","706xx","LA","< 1 year","0"
"20000.00","2017-01-01","debt_consolidation","","34.97%","482xx","MI","5 years","0"
"14000.00","2017-01-01","debt_consolidation","","25.84%","335xx","FL","< 1 year","0"
"2000.00","2017-01-01","Moving and relocation","517","6.18%","636xx","MO","< 1 year","0"
"20000.00","2017-01-01","Business","647","2.47%","870xx","NM","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","6.74%","371xx","TN","5 years","0"
"30000.00","2017-01-01","debt_consolidation","","-1%","349xx","FL","< 1 year","0"
"15000.00","2017-01-01","home_improvement","","1.25%","782xx","TX","5 years","0"
"2000.00","2017-01-01","other","","-1%","288xx","NC","< 1 year","0"
"6000.00","2017-01-01","credit_card","","20.4%","890xx","NV","5 years","0"
"1000.00","2017-01-01","other","","-1%","063xx","CT","5 years","0"
"2000.00","2017-01-01","other","","-1%","283xx","NC","< 1 year","0"
"30000.00","2017-01-01","Home improvement","771","8.03%","330xx","FL","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","11.18%","319xx","GA","< 1 year","0"
"7000.00","2017-01-01","credit_card","","16.81%","463xx","IN","5 years","0"
"5000.00","2017-01-01","Debt consolidation","501","21%","770xx","TX","< 1 year","0"
"25000.00","2017-01-01","debt_consolidation","","1.39%","166xx","PA","< 1 year","0"
"7500.00","2017-01-01","home_improvement","","33.72%","245xx","VA","5 years","0"
"4000.00","2017-01-01","credit_card","","-1%","786xx","TX","5 years","0"
"10000.00","2017-01-01","debt_consolidation","","2.08%","226xx","VA","< 1 year","0"
"1500.00","2017-01-01","debt_consolidation","","82.44%","329xx","FL","< 1 year","0"
"20000.00","2017-01-01","debt_consolidation","","24.27%","446xx","OH","< 1 year","0"
"10000.00","2017-01-01","home_improvement","","-1%","314xx","GA","n/a","0"
"8500.00","2017-01-01","major_purchase","","15.31%","681xx","NE","< 1 year","0"
"7000.00","2017-01-01","debt_consolidation","","13.43%","212xx","MD","5 years","0"
"10000.00","2017-01-01","debt_consolidation","","12.71%","114xx","NY","< 1 year","0"
