yr,subject,winner
1957,Physics,Chen Ning Yang
1956,Physics,John Bardeen
1956,Physics,Walter H. Brattain
1956,Physics,William B. Shockley
1955,Physics,Polykarp Kusch
1955,Physics,Willis E. Lamb
1954,Physics,Max Born
1954,Physics,Walther Bothe
1953,Physics,Frits Zernike
1952,Physics,Felix Bloch
1952,Physics,E. M. Purcell
1951,Physics,John Cockcroft
1951,Physics,Ernest T.S. Walton
1950,Physics,Cecil Powell
1949,Physics,Hideki Yukawa
1948,Physics,Patrick M.S. Blackett
1947,Physics,Edward V. Appleton
1946,Physics,Percy W. Bridgman
1945,Physics,Wolfgang Pauli
1944,Physics,Isidor Isaac Rabi
1943,Physics,Otto Stern
1939,Physics,Ernest Lawrence
1938,Physics,Enrico Fermi
1937,Physics,Clinton Davisson
1937,Physics,George Paget Thomson
1936,Physics,Carl D. Anderson
1936,Physics,Victor F. Hess
1935,Physics,James Chadwick
1933,Physics,Paul A.M. Dirac
1933,Physics,Erwin Schrödinger
1932,Physics,Werner Heisenberg
1930,Physics,Sir Venkata Raman
1929,Physics,Louis de Broglie
1928,Physics,Owen Willans Richardson
1927,Physics,Arthur H. Compton
1927,Physics,C.T.R. Wilson
1926,Physics,Jean Baptiste Perrin
1925,Physics,James Franck
1925,Physics,Gustav Hertz
1924,Physics,Manne Siegbahn
1923,Physics,Robert A. Millikan
1922,Physics,Niels Bohr
1921,Physics,Albert Einstein
1920,Physics,Charles Edouard Guillaume
1919,Physics,Johannes Stark
1918,Physics,Max Planck
1917,Physics,Charles Glover Barkla
1915,Physics,William Bragg
1915,Physics,Lawrence Bragg
1914,Physics,Max von Laue
1913,Physics,Heike Kamerlingh Onnes
1912,Physics,Gustaf Dalén
1911,Physics,Wilhelm Wien
1910,Physics,Johannes Diderik van der Waals
1909,Physics,Ferdinand Braun
1909,Physics,Guglielmo Marconi
1908,Physics,Gabriel Lippmann
1907,Physics,Albert A. Michelson
1906,Physics,J.J. Thomson
1905,Physics,Philipp Lenard
1904,Physics,Lord Rayleigh
1903,Physics,Henri Becquerel
1903,Physics,Pierre Curie
1903,Physics,Marie Curie
1902,Physics,Hendrik A. Lorentz
1902,Physics,Pieter Zeeman
1901,Physics,Wilhelm Conrad Röntgen
