Column1,Rank & Title,IMDb Rating,Your Rating,2
,117. Some Like It Hot (1959),8.2,"12345678910
NOT YET RELEASED
Seen",
,118. Unforgiven (1992),8.2,"12345678910
NOT YET RELEASED
Seen",
,119. The Treasure of the Sierra Madre (1948),8.2,"12345678910
NOT YET RELEASED
Seen",
,120. Downfall (2004),8.2,"12345678910
NOT YET RELEASED
Seen",
,121. My Father and My Son (2005),8.2,"12345678910
NOT YET RELEASED
Seen",
,122. Die Hard (1988),8.2,"12345678910
NOT YET RELEASED
Seen",
,123. Heat (1995),8.2,"12345678910
NOT YET RELEASED
Seen",
,124. Raging Bull (1980),8.2,"12345678910
NOT YET RELEASED
Seen",
,125. The Great Escape (1963),8.2,"12345678910
NOT YET RELEASED
Seen",
,126. Ikiru (1952),8.2,"12345678910
NOT YET RELEASED
Seen",
,127. The Third Man (1949),8.2,"12345678910
NOT YET RELEASED
Seen",
,128. Children of Heaven (1997),8.2,"12345678910
NOT YET RELEASED
Seen",
,129. Chinatown (1974),8.2,"12345678910
NOT YET RELEASED
Seen",
,130. Pan's Labyrinth (2006),8.2,"12345678910
NOT YET RELEASED
Seen",
,131. Incendies (2010),8.2,"12345678910
NOT YET RELEASED
Seen",
,"132. Three Billboards Outside Ebbing, Missouri (2017)",8.2,"12345678910
NOT YET RELEASED
Seen",
,133. My Neighbor Totoro (1988),8.2,"12345678910
NOT YET RELEASED
Seen",
,134. Judgment at Nuremberg (1961),8.2,"12345678910
NOT YET RELEASED
Seen",
,135. Ran (1985),8.2,"12345678910
NOT YET RELEASED
Seen",
,136. The Secret in Their Eyes (2009),8.2,"12345678910
NOT YET RELEASED
Seen",
,137. The Gold Rush (1925),8.2,"12345678910
NOT YET RELEASED
Seen",
,138. Howl's Moving Castle (2004),8.2,"12345678910
NOT YET RELEASED
Seen",
,139. The Bridge on the River Kwai (1957),8.2,"12345678910
NOT YET RELEASED
Seen",
,140. On the Waterfront (1954),8.2,"12345678910
NOT YET RELEASED
Seen",
,141. Inside Out (2015),8.2,"12345678910
NOT YET RELEASED
Seen",
,"142. Lock, Stock and Two Smoking Barrels (1998)",8.2,"12345678910
NOT YET RELEASED
Seen",
,143. The Seventh Seal (1957),8.2,"12345678910
NOT YET RELEASED
Seen",
,144. A Beautiful Mind (2001),8.2,"12345678910
NOT YET RELEASED
Seen",
,145. Casino (1995),8.2,"12345678910
NOT YET RELEASED
Seen",
,146. Room (2015),8.2,"12345678910
NOT YET RELEASED
Seen",
,147. Mr. Smith Goes to Washington (1939),8.1,"12345678910
NOT YET RELEASED
Seen",
,148. The Elephant Man (1980),8.1,"12345678910
NOT YET RELEASED
Seen",
,149. The Wolf of Wall Street (2013),8.1,"12345678910
NOT YET RELEASED
Seen",
,150. V for Vendetta (2005),8.1,"12345678910
NOT YET RELEASED
Seen",
,151. Blade Runner (1982),8.1,"12345678910
NOT YET RELEASED
Seen",
,152. Wild Strawberries (1957),8.1,"12345678910
NOT YET RELEASED
Seen",
,153. Warrior (2011),8.1,"12345678910
NOT YET RELEASED
Seen",
,154. The General (1926),8.1,"12345678910
NOT YET RELEASED
Seen",
,155. Sherlock Jr. (1924),8.1,"12345678910
NOT YET RELEASED
Seen",
,156. Dial M for Murder (1954),8.1,"12345678910
NOT YET RELEASED
Seen",
,157. Trainspotting (1996),8.1,"12345678910
NOT YET RELEASED
Seen",
,158. Gone with the Wind (1939),8.1,"12345678910
NOT YET RELEASED
Seen",
,159. No Country for Old Men (2007),8.1,"12345678910
NOT YET RELEASED
Seen",
,160. Gran Torino (2008),8.1,"12345678910
NOT YET RELEASED
Seen",
,161. The Sixth Sense (1999),8.1,"12345678910
NOT YET RELEASED
Seen",
,162. Fargo (1996),8.1,"12345678910
NOT YET RELEASED
Seen",
,163. There Will Be Blood (2007),8.1,"12345678910
NOT YET RELEASED
Seen",
,164. The Deer Hunter (1978),8.1,"12345678910
NOT YET RELEASED
Seen",
,165. The Thing (1982),8.1,"12345678910
NOT YET RELEASED
Seen",
,166. Finding Nemo (2003),8.1,"12345678910
NOT YET RELEASED
Seen",
,167. The Big Lebowski (1998),8.1,"12345678910
NOT YET RELEASED
Seen",
,168. Come and See (1985),8.1,"12345678910
NOT YET RELEASED
Seen",
,169. Cool Hand Luke (1967),8.1,"12345678910
NOT YET RELEASED
Seen",
,170. Kill Bill: Vol. 1 (2003),8.1,"12345678910
NOT YET RELEASED
Seen",
,171. Rebecca (1940),8.1,"12345678910
NOT YET RELEASED
Seen",
,172. Sunrise (1927),8.1,"12345678910
NOT YET RELEASED
Seen",
,173. Tokyo Story (1953),8.1,"12345678910
NOT YET RELEASED
Seen",
,174. Shutter Island (2010),8.1,"12345678910
NOT YET RELEASED
Seen",
,175. Hacksaw Ridge (2016),8.1,"12345678910
NOT YET RELEASED
Seen",
,176. The Bandit (1996),8.1,"12345678910
NOT YET RELEASED
Seen",
,177. Mary and Max (2009),8.1,"12345678910
NOT YET RELEASED
Seen",
,178. How to Train Your Dragon (2010),8.1,"12345678910
NOT YET RELEASED
Seen",
,179. Gone Girl (2014),8.1,"12345678910
NOT YET RELEASED
Seen",
,180. Into the Wild (2007),8.1,"12345678910
NOT YET RELEASED
Seen",
,181. Andrei Rublev (1966),8.1,"12345678910
NOT YET RELEASED
Seen",
,182. Life of Brian (1979),8.1,"12345678910
NOT YET RELEASED
Seen",
,183. Wild Tales (2014),8.1,"12345678910
NOT YET RELEASED
Seen",
,184. It Happened One Night (1934),8.1,"12345678910
NOT YET RELEASED
Seen",
,185. Blade Runner 2049 (2017),8.1,"12345678910
NOT YET RELEASED
Seen",
,186. Rang De Basanti (2006),8.1,"12345678910
NOT YET RELEASED
Seen",
,187. Platoon (1986),8.1,"12345678910
NOT YET RELEASED
Seen",
,188. In the Name of the Father (1993),8.1,"12345678910
NOT YET RELEASED
Seen",
,189. The Passion of Joan of Arc (1928),8.1,"12345678910
NOT YET RELEASED
Seen",
,190. Network (1976),8.1,"12345678910
NOT YET RELEASED
Seen",
,191. Stand by Me (1986),8.1,"12345678910
NOT YET RELEASED
Seen",
,192. The Grand Budapest Hotel (2014),8.1,"12345678910
NOT YET RELEASED
Seen",
,193. Hotel Rwanda (2004),8.1,"12345678910
NOT YET RELEASED
Seen",
,194. Jurassic Park (1993),8.1,"12345678910
NOT YET RELEASED
Seen",
,195. The Wages of Fear (1953),8.1,"12345678910
NOT YET RELEASED
Seen",
,196. Stalker (1979),8.1,"12345678910
NOT YET RELEASED
Seen",
,197. Ben-Hur (1959),8.1,"12345678910
NOT YET RELEASED
Seen",
,198. Rush (2013),8.1,"12345678910
NOT YET RELEASED
Seen",
,199. Persona (1966),8.1,"12345678910
NOT YET RELEASED
Seen",
,200. Memories of Murder (2003),8.1,"12345678910
NOT YET RELEASED
Seen",
,201. 12 Years a Slave (2013),8.1,"12345678910
NOT YET RELEASED
Seen",
,202. The Truman Show (1998),8.1,"12345678910
NOT YET RELEASED
Seen",
,203. Million Dollar Baby (2004),8.1,"12345678910
NOT YET RELEASED
Seen",
,204. The 400 Blows (1959),8.1,"12345678910
NOT YET RELEASED
Seen",
,205. Mad Max: Fury Road (2015),8.1,"12345678910
NOT YET RELEASED
Seen",
,206. Spotlight (2015),8.1,"12345678910
NOT YET RELEASED
Seen",
,207. Logan (2017),8.1,"12345678910
NOT YET RELEASED
Seen",
,208. Amores Perros (2000),8.1,"12345678910
NOT YET RELEASED
Seen",
,209. Before Sunrise (1995),8.1,"12345678910
NOT YET RELEASED
Seen",
,210. Hachi: A Dog's Tale (2009),8.1,"12345678910
NOT YET RELEASED
Seen",
,211. Butch Cassidy and the Sundance Kid (1969),8.1,"12345678910
NOT YET RELEASED
Seen",
,212. Prisoners (2013),8.1,"12345678910
NOT YET RELEASED
Seen",
,213. The Princess Bride (1987),8.1,"12345678910
NOT YET RELEASED
Seen",
,214. Nausicaä of the Valley of the Wind (1984),8,"12345678910
NOT YET RELEASED
Seen",
,215. La La Land (2016),8,"12345678910
NOT YET RELEASED
Seen",
,216. Catch Me If You Can (2002),8,"12345678910
NOT YET RELEASED
Seen",
,217. Harry Potter and the Deathly Hallows: Part 2 (2011),8,"12345678910
NOT YET RELEASED
Seen",
,218. The Maltese Falcon (1941),8,"12345678910
NOT YET RELEASED
Seen",
,219. Rocky (1976),8,"12345678910
NOT YET RELEASED
Seen",
,220. A Wednesday (2008),8,"12345678910
NOT YET RELEASED
Seen",
,221. The Grapes of Wrath (1940),8,"12345678910
NOT YET RELEASED
Seen",
,222. The Nights of Cabiria (1957),8,"12345678910
NOT YET RELEASED
Seen",
,"223. Monsters, Inc. (2001)",8,"12345678910
NOT YET RELEASED
Seen",
,224. Barry Lyndon (1975),8,"12345678910
NOT YET RELEASED
Seen",
,225. Diabolique (1955),8,"12345678910
NOT YET RELEASED
Seen",
,226. Donnie Darko (2001),8,"12345678910
NOT YET RELEASED
Seen",
,227. Gandhi (1982),8,"12345678910
NOT YET RELEASED
Seen",
,228. Paper Moon (1973),8,"12345678910
NOT YET RELEASED
Seen",
,229. The Terminator (1984),8,"12345678910
NOT YET RELEASED
Seen",
,230. Touch of Evil (1958),8,"12345678910
NOT YET RELEASED
Seen",
,231. La Haine (1995),8,"12345678910
NOT YET RELEASED
Seen",
,232. Groundhog Day (1993),8,"12345678910
NOT YET RELEASED
Seen",
,233. The Wizard of Oz (1939),8,"12345678910
NOT YET RELEASED
Seen",
,234. Dead Poets Society (1989),8,"12345678910
NOT YET RELEASED
Seen",
,235. The Bourne Ultimatum (2007),8,"12345678910
NOT YET RELEASED
Seen",
,236. Annie Hall (1977),8,"12345678910
NOT YET RELEASED
Seen",
,237. Jaws (1975),8,"12345678910
NOT YET RELEASED
Seen",
,238. 8½ (1963),8,"12345678910
NOT YET RELEASED
Seen",
,239. In the Mood for Love (2000),8,"12345678910
NOT YET RELEASED
Seen",
,240. The Help (2011),8,"12345678910
NOT YET RELEASED
Seen",
,"241. Paris, Texas (1984)",8,"12345678910
NOT YET RELEASED
Seen",
,242. Infernal Affairs (2002),8,"12345678910
NOT YET RELEASED
Seen",
,243. Twelve Monkeys (1995),8,"12345678910
NOT YET RELEASED
Seen",
,244. The Best Years of Our Lives (1946),8,"12345678910
NOT YET RELEASED
Seen",
,245. Gangs of Wasseypur (2012),8,"12345678910
NOT YET RELEASED
Seen",
,246. Before Sunset (2004),8,"12345678910
NOT YET RELEASED
Seen",
,247. Beauty and the Beast (1991),8,"12345678910
NOT YET RELEASED
Seen",
,248. Dog Day Afternoon (1975),8,"12345678910
NOT YET RELEASED
Seen",
,249. Pirates of the Caribbean: The Curse of the Black Pearl (2003),8,"12345678910
NOT YET RELEASED
Seen",
,250. Tangerines (2013),8,"12345678910
NOT YET RELEASED
Seen",
