Series ID	Region Name	Region Code	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
BPPRIV037047	"Columbus County, NC"	37047	133	160	110	96	127	93	48	86	82	101	99	125	122	112	104	97	100	162	65	30	28	78	122	71	35	31	35	89	47
BPPRIV037049	"Craven County, NC"	37049	417	414	502	497	568	620	717	1018	827	556	490	630	670	765	1032	1285	1057	644	512	446	434	338	296	293	254	354	224	257	330
BPPRIV037051	"Cumberland County, NC"	37051	1218	1830	2958	3550	2185	1905	1633	1508	2142	1023	1544	1296	2369	1744	3005	3665	3429	2110	1798	2196	3054	2401	2530	1336	870	1112	717	716	575
BPPRIV037053	"Currituck County, NC"	37053	190	206	298	312	396	351	351	462	391	343	340	408	514	560	574	485	308	202	135	112	138	137	205	232	241	288	255	327	425
BPPRIV037055	"Dare County, NC"	37055	377	396	470	533	586	554	567	585	691	818	920	997	1139	866	858	726	470	445	223	124	137	151	221	201	234	268	325	306	337
BPPRIV037057	"Davidson County, NC"	37057	812	884	959	814	854	815	828	829	923	925	893	1001	895	667	864	1104	1103	905	517	274	266	222	228	399	290	389	1061	698	585
BPPRIV037059	"Davie County, NC"	37059	129	113	138	144	212	276	268	280	269	321	328	325	300	329	395	449	375	257	190	55	66	41	43	57	82	193	125	227	443
BPPRIV037061	"Duplin County, NC"	37061	92	83	106	109	118	105	129	125	144	114	167	104	174	118	149	142	119	118	86	52	77	51	65	54	48	36	49	49	52
BPPRIV037063	"Durham County, NC"	37063	1686	1114	1441	1229	2154	2185	2083	3217	2745	3328	2863	3644	2836	2919	2919	2431	3022	2035	1401	1608	1230	1283	2666	3823	1591	3060	3097	3084	3359
BPPRIV037065	"Edgecombe County, NC"	37065	109	42	71	51	56	36	54	33	56	65	95	194	152	77	95	74	45	183	39	35	37	27	18	85	31	32	90	42	39
BPPRIV037067	"Forsyth County, NC"	37067	1309	1258	1512	2003	1876	2183	1643	1790	2867	2605	2875	2263	2931	2752	3235	3138	3012	2951	1677	973	1033	1288	1136	1353	1542	1383	1451	2765	2345
BPPRIV037069	"Franklin County, NC"	37069	233	224	240	269	284	287	320	341	347	417	374	530	416	435	488	539	580	544	253	141	158	126	182	254	242	353	457	590	736
BPPRIV037071	"Gaston County, NC"	37071	1013	900	789	897	840	931	779	1431	1121	1316	1213	1139	1137	1317	1310	1427	1437	1459	839	667	456	624	442	471	687	1361	1104	1136	1230
BPPRIV037073	"Gates County, NC"	37073		21	31	22	26	24	21	22	21	27	18	16	21	18	29	42	89	74	58	39	34	28	21	25	20	24	36	100	46
BPPRIV037075	"Graham County, NC"	37075	0	62	87	88	78	44	41	58	58	66	58	86	54	56	75	95	71	69	53	31	29	14	21	16	20	20	24	23	15
BPPRIV037077	"Granville County, NC"	37077	102	171	130	200	203	210	235	360	358	466	414	560	368	447	652	665	562	534	342	210	202	142	167	214	224	259	350	282	253
BPPRIV037079	"Greene County, NC"	37079	30	90	38	52	53	42	27	27	34	150	31	34	43	27	10	29	29	35	27	23	9	9	11	34	70	53	14	22	26
BPPRIV037081	"Guilford County, NC"	37081	2162	2233	2683	3363	3356	3921	4451	4460	4480	4481	3529	5166	4653	3677	4978	4995	5317	3942	2729	1616	1480	1681	1479	1752	2339	1814	2204	2411	1662
BPPRIV037083	"Halifax County, NC"	37083	206	116	200	141	173	81	100	90	121	95	94	101	127	98	181	90	188	144	115	72	124	48	46	87	54	47	39	102	124
BPPRIV037085	"Harnett County, NC"	37085	356	272	399	537	612	744	787	672	765	825	692	717	757	987	993	1190	1383	1198	891	742	837	824	770	813	612	747	678	650	597
BPPRIV037087	"Haywood County, NC"	37087	262	289	297	295	311	360	379	376	403	457	393	485	480	468	454	512	764	354	366	178	172	152	95	119	122	119	147	184	201
BPPRIV037089	"Henderson County, NC"	37089	504	523	601	707	720	624	917	724	775	917	720	971	1011	911	1066	1035	1075	1248	444	311	226	254	462	444	339	616	555	596	834
BPPRIV037091	"Hertford County, NC"	37091	113	73	45	37	47	39	60	44	50	58	31	26	63	63	24	45	54	74	52	50	19	2	20	5	20	75	20	8	0
BPPRIV037093	"Hoke County, NC"	37093	58	75	201	249	274	235	275	408	406	302	261	318	467	523	523	660	686	554	508	468	555	406	510	554	219	274	236	219	244
BPPRIV037095	"Hyde County, NC"	37095	29	45	29	31	46	26	18	20	41	10	20	17	20	22	24	35	63	29	15	22	9	10	21	11	8	6	15	15	11
BPPRIV037097	"Iredell County, NC"	37097	629	672	693	858	968	1160	1711	1291	1955	2111	1830	1829	1968	2049	2387	2546	2276	3279	1658	565	353	307	464	853	798	1356	1348	1816	1991
BPPRIV037099	"Jackson County, NC"	37099	233	194	260	247	275	294	330	376	447	434	745	444	976	559	678	769	819	484	302	253	155	150	125	467	211	191	168	230	421
BPPRIV037101	"Johnston County, NC"	37101	698	795	965	929	1011	1160	1195	1518	1883	2148	1635	1814	1696	1594	1545	1956	2045	1867	1085	636	641	588	826	1151	1280	1545	2007	2255	2550
BPPRIV037103	"Jones County, NC"	37103	76	24	19	30	18	3	6	0	5	20	5	6	4	0	7	25	44	63	56	31	51	25	18	12	10	15	16	19	22
BPPRIV037105	"Lee County, NC"	37105	139	161	366	204	300	298	202	360	348	408	231	244	374	339	402	557	552	307	179	109	114	104	76	72	71	81	98	188	158
BPPRIV037107	"Lenoir County, NC"	37107	157	106	135	170	197	160	153	162	218	163	242	160	148	121	121	77	84	87	60	40	32	90	37	45	54	38	112	29	93
BPPRIV037109	"Lincoln County, NC"	37109	300	321	371	381	411	395	406	430	523	894	833	835	673	634	708	734	801	816	356	171	133	147	185	312	374	444	816	1063	792
BPPRIV037113	"Macon County, NC"	37113	245	269	284	309	382	331	385	367	387	410	359	390	323	332	390	363	342	378	253	146	77	77	82	75	107	85	91	93	95
BPPRIV037115	"Madison County, NC"	37115	127	88	64	96	72	78	125	136	132	126	143	134	119	153	161	143	222	169	87	67	52	50	61	69	59	73	79	91	103
BPPRIV037117	"Martin County, NC"	37117	49	64	48	52	59	50	59	46	41	42	50	54	52	28	36	31	29	35	37	25	22	0	0	0	0	0	0	19	22
BPPRIV037111	"McDowell County, NC"	37111	124	115	131	136	100	107	180	184	173	143	132	134	175	197	271	246	250	295	185	107	115	111	98	110	106	142	81	112	122
BPPRIV037119	"Mecklenburg County, NC"	37119	6093	4287	5108	6030	8240	7706	10443	10318	11993	14014	13960	12637	10606	9854	11906	10828	13676	11417	6850	3044	2672	3094	8012	8558	9340	9056	9759	11216	14049
BPPRIV037121	"Mitchell County, NC"	37121	64	43	54	61	86	47	100	61	59	66	70	48	59	62	61	68	54	85	62	57	49	32	30	25	32	23	29	28	40
BPPRIV037123	"Montgomery County, NC"	37123	70	106	103	76	66	90	111	122	109	131	102	121	99	92	94	108	117	88	67	45	40	108	112	133	41	28	4	54	72
BPPRIV037125	"Moore County, NC"	37125	485	377	632	625	735	679	741	708	940	909	672	637	665	869	857	1075	1031	832	440	334	366	396	426	540	608	562	731	720	762
BPPRIV037127	"Nash County, NC"	37127	483	433	445	469	637	442	410	689	583	725	695	613	760	685	660	692	657	662	328	236	175	165	127	165	185	231	226	173	196
BPPRIV037129	"New Hanover County, NC"	37129	1406	1290	1837	2008	2818	3002	2686	4161	2716	2307	1860	2459	2432	2904	3594	3401	2011	2177	1219	427	568	724	1593	1893	1749	1812	2383	2258	1918
BPPRIV037131	"Northampton County, NC"	37131	52	44	87	39	30	35	55	42	72	56	45	62	58	30	53	177	71	31	18	14	22	16	11	18	17	25	15	38	23
BPPRIV037133	"Onslow County, NC"	37133	532	481	611	683	784	676	832	826	948	970	915	1167	1042	1048	1860	1818	2045	1636	1236	2136	2375	2031	2260	1658	1081	894	803	1005	1036
BPPRIV037135	"Orange County, NC"	37135	523	559	656	744	1036	818	950	1005	1383	1540	1070	1432	1088	1169	1118	1018	522	430	612	722	352	260	232	331	304	691	496	1002	1242
BPPRIV037137	"Pamlico County, NC"	37137	56	99	62	56	100	128	81	74	67	87	56	51	51	71	108	107	118	97	71	51	48	36	44	51	0	66	52	19	37
BPPRIV037139	"Pasquotank County, NC"	37139	148	215	206	192	218	177	204	229	167	128	108	144	213	219	429	548	312	116	297	152	45	54	68	68	63	86	106	118	136
BPPRIV037141	"Pender County, NC"	37141	207	227	219	459	322	286	330	385	312	353	348	330	423	681	909	1095	678	621	340	163	183	193	221	399	459	546	564	504	532
BPPRIV037143	"Perquimans County, NC"	37143	50	32	39	73	61	69	72	75	63	66	63	66	91	65	132	161	159	125	58	54	53	38	28	38	26	26	31	34	38
BPPRIV037145	"Person County, NC"	37145	146	139	111	182	176	174	177	183	157	189	180	187	216	246	277	235	223	175	123	96	68	52	51	47	105	64	82	90	105
BPPRIV037147	"Pitt County, NC"	37147	1161	934	1409	1746	1853	1558	1019	1413	1372	1189	1766	1838	1837	1709	2191	2548	2291	2513	1247	562	669	336	770	558	905	538	861	1137	1150
BPPRIV037149	"Polk County, NC"	37149	110	107	111	136	98	137	136	113	128	156	121	192	162	197	155	165	191	176	90	51	39	41	43	47	67	61	74	93	79
BPPRIV037151	"Randolph County, NC"	37151	471	603	561	555	631	685	796	843	762	873	915	782	703	715	702	855	689	613	387	339	318	261	264	168	184	211	310	328	354
BPPRIV037153	"Richmond County, NC"	37153	132	149	198	239	253	240	295	305	303	321	274	286	258	305	331	392	297	304	185	125	115	118	137	157	197	188	205	231	230
BPPRIV037155	"Robeson County, NC"	37155	162	174	199	274	230	240	288	192	268	315	413	262	319	306	328	391	311	243	157	108	206	105	120	102	140	105	85	123	106
BPPRIV037157	"Rockingham County, NC"	37157	299	339	345	250	363	244	310	280	407	374	342	445	312	424	459	440	411	411	180	120	105	105	144	112	109	187	221	316	208
BPPRIV037159	"Rowan County, NC"	37159	439	425	612	457	519	581	590	840	859	817	764	748	816	661	766	870	647	723	560	195	207	106	147	240	288	294	320	403	541
BPPRIV037161	"Rutherford County, NC"	37161	243	199	193	288	223	228	267	267	294	346	290	307	336	303	344	437	441	360	239	113	111	93	106	148	139	110	122	133	150
BPPRIV037163	"Sampson County, NC"	37163	144	114	223	126	223	122	126	128	171	146	134	157	159	137	176	224	173	137	74	114	93	70	88	73	65	76	73	151	120
BPPRIV037165	"Scotland County, NC"	37165	83	74	135	93	96	84	127	136	144	159	144	115	96	65	78	69	57	84	36	19	80	19	56	9	32	29	9	15	20
BPPRIV037167	"Stanly County, NC"	37167	198	180	223	249	228	217	192	256	243	278	287	348	377	416	476	516	461	357	257	153	130	98	126	103	92	92	199	263	272
BPPRIV037169	"Stokes County, NC"	37169	145	167	203	182	178	183	203	177	232	212	183	156	161	182	192	266	199	177	138	77	40	50	67	54	135	75	85	69	69
BPPRIV037171	"Surry County, NC"	37171	187	184	190	302	276	231	194	236	290	216	222	221	226	221	228	188	295	177	186	99	88	83	74	136	73	154	154	113	159
BPPRIV037173	"Swain County, NC"	37173	88	38	64	76	81	71	92	126	115	98	155	116	135	142	148	136	216	122	74	46	46	54	38	41	50	52	91	56	65
BPPRIV037175	"Transylvania County, NC"	37175	186	196	188	206	186	191	212	245	321	286	238	255	256	246	241	323	233	236	152	76	160	62	73	99	65	82	104	112	128
BPPRIV037177	"Tyrrell County, NC"	37177	10	6	3	6	7	3	4	7	9	7	9	8	37	8	33	23	11	9	12	7	5	7	14	12	1	1	1	3	3
BPPRIV037179	"Union County, NC"	37179	992	902	1268	1349	1306	1514	1856	1775	2496	2569	2457	2493	2752	2929	3312	3972	3965	2603	998	587	520	692	1158	1773	1425	1396	1572	1537	1634
BPPRIV037181	"Vance County, NC"	37181	43	214	138	240	199	176	122	107	188	129	138	115	126	148	124	118	105	90	80	47	83	36	35	30	26	74	35	60	44
BPPRIV037183	"Wake County, NC"	37183	4160	4551	5822	6981	10133	8909	9214	10058	12171	13527	12193	11438	9566	10631	12371	12119	15087	14203	10059	4117	4414	5652	11918	10026	10125	10089	11050	11335	12664
BPPRIV037185	"Warren County, NC"	37185	62	105	122	94	91	96	116	60	71	94	89	99	106	118	139	155	149	5	50	34	32	25	36	30	30	48	40	41	55
BPPRIV037187	"Washington County, NC"	37187	22	19	19	22	32	19	22	7	11	31	17	9	9	20	10	19	29	20	29	5	10	12	10	8	8	8	8	6	5
BPPRIV037189	"Watauga County, NC"	37189	348	364	394	408	372	522	504	533	506	854	573	471	541	823	536	650	622	491	386	230	271	183	320	297	243	397	198	325	331
BPPRIV037191	"Wayne County, NC"	37191	366	316	463	542	576	539	466	459	378	555	428	421	433	690	540	607	522	469	390	259	279	205	263	277	257	248	269	280	275
BPPRIV037193	"Wilkes County, NC"	37193	175	154	192	262	203	214	205	279	319	279	242	191	189	254	289	231	262	202	138	109	89	128	85	160	92	159	144	120	94
BPPRIV037195	"Wilson County, NC"	37195	292	313	346	466	417	371	338	473	497	469	598	532	419	423	486	442	520	531	189	256	181	87	116	105	182	114	117	348	234
BPPRIV037197	"Yadkin County, NC"	37197	106	89	141	120	170	124	147	100	163	182	138	121	157	143	127	141	201	195	73	61	62	33	35	39	36	4	5	6	57
BPPRIV037199	"Yancey County, NC"	37199	4	71	63	65	95	84	87	87	95	96	87	93	120	129	146	156	139	100	70	48	44	32	35	45	51	50	51	16	39
