Series ID	Region Name	Region Code	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
ATNHPIUS37065A	"Edgecombe County, NC"	37065					57.88	63.10	63.44	52.24	66.13	65.70	67.66	70.70	69.60	70.93	73.02	78.50	75.02	76.87	76.05	78.48	80.96	84.75	88.85	91.52	95.86	100.00	105.82	110.32	110.83	109.68	110.57	117.79	119.97	116.98	116.69	113.57	115.79	113.26	111.55	106.61	113.48	108.62	113.96	121.76
ATNHPIUS37067A	"Forsyth County, NC"	37067	34.17	33.60	36.42	38.80	44.96	46.87	52.23	52.55	55.20	58.56	61.53	64.93	67.59	70.99	72.12	73.48	74.83	75.65	77.31	80.20	84.58	87.15	90.10	93.27	96.02	100.00	104.38	106.31	107.28	110.50	114.65	119.42	121.02	120.62	118.78	115.61	112.96	110.17	109.25	109.32	113.88	116.76	121.02	128.53
ATNHPIUS37069A	"Franklin County, NC"	37069												59.67	62.49	68.40	67.17	72.10	70.45	72.71	75.77	78.25	84.32	86.49	89.71	92.64	95.86	100.00	102.37	103.82	104.48	105.72	110.63	114.59	118.52	118.65	115.11	110.01	107.38	101.87	104.94	107.09	108.53	113.56	122.28	127.36
ATNHPIUS37071A	"Gaston County, NC"	37071	30.33	29.68	33.22	35.48	40.99	44.57	45.37	45.57	50.46	55.09	55.16	58.71	60.91	65.75	69.86	71.26	73.45	74.03	75.19	76.24	80.34	83.97	87.34	91.75	95.16	100.00	103.71	105.11	106.61	108.09	110.21	114.10	118.38	119.74	116.74	110.09	105.22	103.08	105.11	108.65	111.43	117.53	125.69	137.42
ATNHPIUS37073A	"Gates County, NC"	37073																										100.00	98.77	104.90	106.31	119.25	134.72	158.08	170.11	159.37	156.39	148.31	139.14	141.04	132.94	141.83	140.05	128.64	145.32	148.70
ATNHPIUS37075A	"Graham County, NC"	37075																									103.12	100.00	108.33	114.18	117.98	124.91	139.27	159.43	165.44	160.75	153.41	144.84	134.09	121.16	122.47	120.20	126.27	131.41	140.78	152.94
ATNHPIUS37077A	"Granville County, NC"	37077												54.95	59.93	63.31	64.84	66.27	68.23	69.58	71.34	74.23	81.99	83.14	86.76	90.39	94.43	100.00	102.99	104.37	104.98	106.24	108.50	114.18	117.76	118.07	114.01	110.77	106.79	105.42	104.84	105.72	108.12	109.81	117.51	124.03
ATNHPIUS37079A	"Greene County, NC"	37079																								91.44	100.00	100.00	105.96	106.43	108.01	110.17	117.41	121.40	128.09	129.32	122.09	125.86	116.26	113.22	120.10	129.66	118.11	115.29	129.10	125.89
ATNHPIUS37081A	"Guilford County, NC"	37081	30.40	32.02	36.33	40.12	45.16	47.53	49.76	52.79	54.33	59.26	63.07	65.91	69.72	73.24	74.42	75.15	76.41	77.76	78.66	80.84	83.84	86.91	90.34	92.88	95.74	100.00	103.16	104.77	105.84	108.64	112.07	115.98	118.71	118.23	116.21	111.34	107.78	105.42	106.62	108.03	109.52	113.91	118.16	123.37
ATNHPIUS37083A	"Halifax County, NC"	37083												66.69	67.39	72.06	72.42	73.96	76.13	77.38	78.64	81.16	83.89	87.53	87.81	91.57	94.81	100.00	103.60	106.14	109.48	111.99	120.51	132.32	142.05	144.70	139.21	128.97	125.48	121.99	118.91	119.94	116.90	119.72	125.57	128.30
ATNHPIUS37085A	"Harnett County, NC"	37085												59.74	62.66	69.07	67.80	65.88	71.33	71.72	73.53	75.88	84.69	85.99	89.45	93.43	97.34	100.00	103.54	105.46	106.29	108.83	111.10	117.55	122.25	124.27	121.26	117.45	114.92	111.85	112.93	114.02	116.84	121.39	125.21	130.26
ATNHPIUS37087A	"Haywood County, NC"	37087												53.34	54.77	58.58	60.72	61.46	63.59	65.85	65.68	66.03	75.39	78.41	85.86	90.36	94.17	100.00	104.85	109.99	113.38	118.21	129.87	143.39	152.40	150.04	147.74	136.07	129.82	124.93	122.71	126.12	126.93	131.36	143.82	147.77
ATNHPIUS37089A	"Henderson County, NC"	37089			34.97	38.41	41.85	43.66	46.43	48.48	50.50	53.90	56.67	57.72	60.72	62.29	65.92	67.43	69.12	73.01	74.15	75.17	78.86	82.69	86.03	90.73	93.91	100.00	104.90	108.32	111.59	117.03	126.25	140.54	150.74	151.20	146.43	137.21	130.58	123.71	124.88	128.66	134.57	142.79	151.42	164.76
ATNHPIUS37091A	"Hertford County, NC"	37091												64.22	58.23	66.43	70.09	70.85	75.12	70.90	73.42	76.34	75.05	79.26	81.94	87.67	92.89	100.00	101.79	102.73	105.46	107.55	116.72	130.28	128.77	136.93	133.38	127.49	125.52	119.00	122.28	110.69	124.36	113.48	131.66	122.81
ATNHPIUS37093A	"Hoke County, NC"	37093																					86.15	96.00	95.08	96.86	99.38	100.00	105.02	105.30	106.75	112.85	119.45	129.57	131.69	132.25	135.10	133.77	130.79	128.29	125.65	125.88	128.40	124.12	129.67	132.93
ATNHPIUS37097A	"Iredell County, NC"	37097	30.76	33.51	33.65	38.87	40.74	45.68	44.38	43.67	50.90	53.42	55.44	58.51	61.19	63.60	66.97	70.43	72.46	74.13	76.25	78.34	80.76	85.20	88.69	92.76	95.90	100.00	104.36	106.49	107.54	110.42	114.90	124.78	132.52	134.67	129.88	118.85	114.18	110.62	112.56	115.94	120.61	125.24	130.75	136.91
ATNHPIUS37099A	"Jackson County, NC"	37099																						77.61	84.60	84.89	89.71	100.00	104.36	107.93	112.85	118.36	130.99	145.22	153.45	156.94	153.35	141.79	136.98	127.95	128.15	129.85	128.84	126.38	129.33	136.07
ATNHPIUS37101A	"Johnston County, NC"	37101											60.60	64.38	65.67	66.58	70.86	71.76	72.09	73.05	74.82	79.63	85.33	87.52	91.68	94.77	97.31	100.00	103.30	104.24	104.32	105.29	107.42	113.51	117.86	117.93	114.60	110.99	107.84	105.66	106.24	109.14	112.77	117.40	125.03	131.85
ATNHPIUS37103A	"Jones County, NC"	37103																		79.75	79.59	77.61	86.30	88.39	92.73	92.74	95.67	100.00	99.07	103.62	104.29	109.77	120.02	129.23	134.74	138.54	134.11	128.69	123.20	114.34	120.33	105.29	110.34	119.08	128.88	115.64
ATNHPIUS37105A	"Lee County, NC"	37105											60.90	64.07	65.45	68.79	70.98	70.68	73.80	74.42	76.35	79.69	83.73	87.81	90.58	94.53	96.74	100.00	103.50	105.26	106.83	109.47	113.59	120.20	123.81	124.94	122.55	117.94	114.81	113.30	111.71	108.71	115.10	115.01	119.73	127.71
ATNHPIUS37107A	"Lenoir County, NC"	37107			45.17	51.94	57.08	66.78	#N/A	57.04	57.45	61.52	64.81	66.43	66.36	72.47	76.99	74.87	76.78	79.66	81.03	83.96	86.39	90.07	91.31	95.19	96.50	100.00	105.12	106.57	105.50	106.71	109.17	112.71	116.15	116.08	114.41	114.49	110.22	106.75	107.68	103.69	105.08	105.92	105.65	110.32
ATNHPIUS37109A	"Lincoln County, NC"	37109												53.52	56.78	64.45	63.74	67.08	66.51	70.46	73.31	75.25	78.19	82.68	86.75	90.41	93.66	100.00	104.03	106.33	106.31	109.42	113.81	123.78	129.93	134.78	132.47	121.80	116.28	114.01	115.93	121.16	124.83	128.55	138.38	144.84
ATNHPIUS37113A	"Macon County, NC"	37113																					74.63	77.18	81.39	88.20	94.08	100.00	107.35	112.27	116.55	124.31	133.16	145.60	157.43	160.43	151.40	137.21	130.33	120.55	118.91	117.46	121.75	125.82	129.04	134.48
ATNHPIUS37115A	"Madison County, NC"	37115																								91.02	92.07	100.00	104.68	107.89	110.59	113.63	122.73	136.73	148.94	142.86	140.54	132.45	127.00	120.56	126.14	124.64	135.57	137.25	143.11	146.48
ATNHPIUS37117A	"Martin County, NC"	37117																			73.36	77.15	83.58	86.75	87.40	89.41	95.87	100.00	106.49	109.73	110.81	118.82	118.83	128.63	132.59	138.75	134.04	138.58	135.08	127.35	126.68	123.11	121.83	130.48	127.08	136.31
ATNHPIUS37111A	"McDowell County, NC"	37111																		71.83	70.63	73.79	79.86	82.42	84.27	86.71	91.16	100.00	97.64	99.47	103.63	110.48	115.62	122.62	134.07	133.49	129.61	123.96	119.87	115.73	113.99	119.65	118.44	127.01	133.05	136.16
ATNHPIUS37119A	"Mecklenburg County, NC"	37119	26.56	29.03	31.13	35.08	39.36	43.62	47.31	49.14	48.34	53.38	56.46	58.48	62.50	67.19	70.40	71.40	72.23	72.96	73.51	75.59	79.89	84.35	88.82	92.28	95.97	100.00	103.48	105.10	106.17	108.66	114.61	123.36	132.44	135.26	129.27	118.66	113.69	111.34	116.80	125.01	132.42	143.57	157.46	170.86
ATNHPIUS37121A	"Mitchell County, NC"	37121																									100.13	100.00	110.49	114.34	117.73	122.98	127.61	138.62	149.95	145.99	150.22	149.16	141.92	132.25	135.73	135.67	131.28	139.86	139.30	137.48
ATNHPIUS37123A	"Montgomery County, NC"	37123																						85.56	83.59	85.86	92.33	100.00	106.97	109.60	108.99	116.41	118.23	135.14	137.94	145.87	141.30	137.15	127.38	128.84	121.99	126.97	128.49	132.68	135.62	136.82
ATNHPIUS37125A	"Moore County, NC"	37125											66.77	64.39	65.51	64.71	72.76	70.87	73.97	74.98	75.58	79.30	83.61	87.13	90.53	93.55	96.82	100.00	104.13	106.26	108.27	113.06	120.04	128.72	136.09	139.70	137.97	133.67	129.37	128.10	126.59	127.72	129.10	133.82	136.82	142.05
ATNHPIUS37127A	"Nash County, NC"	37127	39.14	40.18	44.73	48.58	51.53	57.12	52.28	59.37	63.50	65.01	67.43	69.11	70.16	72.84	74.13	76.43	77.46	78.16	79.40	81.17	85.02	87.44	91.34	94.24	96.68	100.00	103.49	105.37	107.27	108.48	110.61	113.76	115.30	116.63	115.27	109.12	105.53	103.69	102.98	101.50	101.25	104.10	106.01	107.65
ATNHPIUS37129A	"New Hanover County, NC"	37129	27.64	30.11	31.63	27.91	33.02	36.76	42.09	42.16	46.81	47.10	51.86	54.56	56.43	59.72	62.02	64.10	66.17	68.25	70.69	75.25	81.75	87.11	92.53	96.13	98.71	100.00	103.82	105.84	107.12	113.89	134.14	159.06	167.76	165.03	154.60	139.90	130.94	123.74	125.05	130.86	136.52	142.90	153.60	163.40
ATNHPIUS37131A	"Northampton County, NC"	37131																			69.52	76.97	80.54	85.81	89.67	90.03	95.85	100.00	103.76	113.10	105.18	125.91	134.50	148.50	156.75	155.00	149.65	144.56	135.95	129.12	130.38	133.59	128.08	126.07	120.06	132.08
ATNHPIUS37133A	"Onslow County, NC"	37133										71.43	73.52	78.62	78.48	78.35	77.83	76.69	78.87	79.88	80.66	81.96	84.39	86.14	90.93	94.27	96.32	100.00	104.49	106.53	110.37	116.97	130.66	146.04	158.56	159.79	159.71	155.69	149.63	142.08	142.28	132.31	131.01	134.29	137.00	140.78
ATNHPIUS37135A	"Orange County, NC"	37135	24.20	26.19	28.59	32.03	36.51	37.14	40.87	44.39	45.25	48.91	52.25	55.43	59.02	63.63	64.38	64.89	66.64	68.89	70.90	73.93	80.84	82.71	88.17	90.98	94.73	100.00	104.46	108.13	109.79	115.69	123.66	132.16	138.68	140.97	139.07	134.37	131.81	130.30	131.85	135.41	139.66	143.16	151.98	161.12
ATNHPIUS37137A	"Pamlico County, NC"	37137																		73.57	70.19	73.49	85.02	83.68	87.42	89.82	89.27	100.00	96.92	98.49	104.68	111.28	123.55	148.74	158.56	151.68	150.14	136.93	125.52	137.10	125.78	121.78	112.18	116.03	113.31	125.34
ATNHPIUS37139A	"Pasquotank County, NC"	37139											63.24	64.27	66.57	73.70	76.71	75.71	78.84	79.62	80.74	85.13	85.49	89.90	93.16	93.33	94.63	100.00	101.42	105.33	109.56	125.78	150.35	176.51	181.79	178.59	165.73	157.29	141.68	134.72	132.54	128.25	130.96	129.41	136.02	134.28
ATNHPIUS37141A	"Pender County, NC"	37141												56.23	56.60	58.59	61.03	62.08	64.06	64.95	67.05	70.19	76.65	82.12	86.60	92.59	95.07	100.00	104.68	106.78	110.00	121.60	139.98	163.97	170.42	165.61	157.05	147.96	137.17	130.10	129.40	134.02	136.30	142.13	151.57	163.24
ATNHPIUS37143A	"Perquimans County, NC"	37143																								101.55	97.76	100.00	110.66	115.28	117.97	135.69	145.95	173.81	180.65	182.65	176.76	159.58	151.57	153.70	148.48	145.11	151.14	151.52	151.63	153.45
ATNHPIUS37145A	"Person County, NC"	37145																		74.80	74.20	80.14	84.88	85.38	93.77	95.05	98.65	100.00	106.02	110.40	111.26	112.61	116.82	125.71	128.84	129.19	124.94	118.84	117.44	115.83	117.42	117.41	116.96	119.59	126.92	127.73
ATNHPIUS37147A	"Pitt County, NC"	37147	35.58	37.92	41.70	44.67	50.86	54.27	63.16	60.25	59.47	60.26	64.92	67.10	69.67	72.51	74.49	75.70	77.39	78.05	79.26	82.73	84.89	87.32	89.88	92.94	96.80	100.00	103.80	105.91	107.18	110.78	115.71	120.71	124.07	124.49	122.07	117.98	115.84	112.94	112.81	112.59	112.60	113.38	117.38	120.67
ATNHPIUS37149A	"Polk County, NC"	37149																		75.92	79.24	78.84	81.55	87.72	85.76	94.38	96.78	100.00	107.46	114.50	115.17	122.01	128.25	140.03	150.80	154.52	150.04	144.00	137.59	133.45	133.18	129.69	135.52	144.60	146.69	161.14
ATNHPIUS37151A	"Randolph County, NC"	37151		31.64	33.27	38.24	36.97	45.18	#N/A	50.44	47.76	51.41	54.08	56.49	60.36	64.32	67.45	69.35	70.78	72.09	74.26	76.03	81.47	83.35	88.51	91.17	94.75	100.00	103.06	105.35	105.84	107.80	111.09	113.95	115.51	116.04	113.27	108.77	105.62	103.40	104.08	103.15	103.62	107.93	111.36	117.53
ATNHPIUS37153A	"Richmond County, NC"	37153												65.58	67.09	73.01	71.21	74.62	75.28	82.77	82.71	79.89	87.99	88.14	91.99	94.86	95.81	100.00	106.77	109.96	110.28	114.02	119.23	126.91	130.64	136.40	133.56	130.58	128.34	126.44	127.97	131.54	128.77	127.44	135.20	130.26
ATNHPIUS37155A	"Robeson County, NC"	37155												69.57	74.58	75.26	74.34	73.74	77.43	79.34	79.84	82.89	85.20	89.11	91.05	94.90	97.86	100.00	105.35	106.62	108.88	116.70	120.22	124.20	129.72	131.52	131.49	128.04	123.02	124.81	124.04	123.07	125.76	123.29	122.89	129.06
ATNHPIUS37157A	"Rockingham County, NC"	37157											59.89	58.98	62.95	61.26	68.52	63.42	69.82	71.34	72.69	76.32	79.55	82.35	87.85	90.59	95.37	100.00	103.37	106.62	107.97	109.58	115.39	116.84	119.43	120.47	118.64	114.15	110.98	109.60	109.31	110.84	111.38	111.52	113.69	116.50
ATNHPIUS37159A	"Rowan County, NC"	37159	31.13	30.44	35.66	37.01	40.77	44.52	46.48	42.89	49.26	51.33	51.77	55.39	58.35	62.24	61.10	65.45	67.00	69.43	71.76	73.30	79.00	83.22	87.91	91.73	95.74	100.00	104.34	106.20	107.82	108.43	112.35	115.98	123.04	124.42	120.79	114.88	109.44	105.18	104.75	107.24	110.61	116.14	121.03	130.78
ATNHPIUS37161A	"Rutherford County, NC"	37161															76.76	75.25	78.38	78.82	80.39	79.82	84.82	87.66	87.40	90.45	94.34	100.00	103.52	106.76	108.75	112.70	119.60	125.89	135.89	138.35	135.53	126.70	120.03	115.40	116.10	112.32	121.20	123.50	128.72	135.16
ATNHPIUS37163A	"Sampson County, NC"	37163																		73.55	74.85	80.46	81.87	86.72	92.47	95.42	97.28	100.00	106.36	107.63	108.61	113.22	120.80	127.03	130.95	133.18	133.98	130.06	126.43	124.98	128.30	129.62	127.52	130.49	137.79	141.78
ATNHPIUS37165A	"Scotland County, NC"	37165																	74.39	77.97	80.52	83.93	87.71	88.60	91.96	94.38	97.91	100.00	103.26	103.07	105.88	107.93	109.69	117.83	117.19	120.08	119.27	112.92	112.56	109.97	106.94	112.38	111.21	113.70	109.23	112.54
ATNHPIUS37167A	"Stanly County, NC"	37167												53.72	57.26	62.54	65.47	65.94	68.62	71.51	71.91	74.33	75.52	79.06	84.63	87.40	92.29	100.00	104.91	107.09	106.84	109.60	113.99	118.08	123.68	127.32	126.81	121.36	114.41	112.29	110.67	110.57	114.01	114.89	122.58	130.34
ATNHPIUS37169A	"Stokes County, NC"	37169				39.93	44.90	48.22	50.30	56.10	#N/A	55.64	57.39	60.27	62.47	66.75	68.22	70.99	73.62	74.29	74.60	79.79	84.50	87.00	93.88	95.55	95.84	100.00	104.84	107.10	108.13	110.59	116.76	122.83	124.39	124.20	120.52	119.10	115.13	114.05	110.34	109.97	112.42	113.44	117.33	128.80
ATNHPIUS37171A	"Surry County, NC"	37171												53.12	57.69	56.10	59.87	62.49	65.93	67.72	69.87	72.87	79.30	82.98	88.85	92.00	95.37	100.00	102.65	104.65	105.86	107.65	112.34	115.83	120.38	123.01	120.03	114.51	111.83	112.67	109.46	109.56	110.76	116.91	115.88	120.97
ATNHPIUS37173A	"Swain County, NC"	37173																								88.63	93.65	100.00	105.94	110.28	115.19	122.48	139.11	145.79	163.29	166.69	158.91	142.47	139.34	130.88	131.32	124.02	125.44	126.69	132.80	148.12
ATNHPIUS37175A	"Transylvania County, NC"	37175												55.66	55.36	62.51	60.80	63.43	65.19	67.67	71.38	69.30	76.22	79.62	82.36	89.31	94.33	100.00	107.45	111.46	115.45	120.42	124.77	142.63	151.06	150.00	147.69	137.56	133.31	131.05	125.48	126.67	133.29	145.33	147.81	155.57
ATNHPIUS37179A	"Union County, NC"	37179			32.88	36.16	41.37	50.15	44.55	46.30	49.42	50.65	54.04	56.99	60.31	64.26	66.78	68.58	69.89	71.27	72.71	74.72	79.28	83.44	88.06	91.95	95.54	100.00	104.04	106.47	107.32	109.86	114.62	121.85	128.96	129.97	124.59	115.46	109.81	106.62	109.95	114.77	121.53	127.67	136.64	147.03
