Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,Ball Control,Composure,Crossing,Curve,Dribbling,FK Accuracy,Finishing,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Heading Accuracy,Interceptions,Jumping,Long Passing,Long Shots,Marking,Penalties,Positioning,Reactions,Short Passing,Shot Power,Sliding Tackle,Sprint Speed,Stamina,Standing Tackle,Strength,Vision,Volleys
M. Hummels,28,https://cdn.sofifa.org/sm/18/players/178603.png,Germany,https://cdn.sofifa.org/flags/21.png,90,90,FC Bayern Munich,https://cdn.sofifa.org/xs/18/teams/21.png,62500000.0,215000.0,2063,62,69,64,58,81,91,64,65,68,53,55,15,6,10,5,6,89,92,68,85,51,89,68,56,90,82,71,90,69,66,92,85,79,60
G. Higuaín,29,https://cdn.sofifa.org/sm/18/players/167664.png,Argentina,https://cdn.sofifa.org/flags/52.png,90,90,Juventus,https://cdn.sofifa.org/xs/18/teams/45.png,77000000.0,275000.0,1965,78,50,75,69,85,86,68,74,84,62,91,5,12,7,5,10,86,20,79,59,82,12,70,92,88,75,88,18,80,72,22,85,74,88
Sergio Ramos,31,https://cdn.sofifa.org/sm/18/players/155862.png,Spain,https://cdn.sofifa.org/flags/45.png,90,90,Real Madrid CF,https://cdn.sofifa.org/xs/18/teams/243.png,52000000.0,310000.0,2154,75,84,79,60,84,80,66,73,61,67,60,11,8,9,7,11,91,90,93,72,55,84,68,52,85,78,79,91,77,84,90,81,63,66
P. Dybala,23,https://cdn.sofifa.org/sm/18/players/211110.png,Argentina,https://cdn.sofifa.org/flags/52.png,89,94,Juventus,https://cdn.sofifa.org/xs/18/teams/45.png,89000000.0,215000.0,2086,88,48,91,85,93,84,82,88,92,88,84,5,4,4,5,8,68,32,75,75,88,14,86,84,84,87,82,20,84,83,20,65,86,88
J. Oblak,24,https://cdn.sofifa.org/sm/18/players/200389.png,Slovenia,https://cdn.sofifa.org/flags/44.png,89,93,Atlético Madrid,https://cdn.sofifa.org/xs/18/teams/240.png,62000000.0,82000.0,1297,43,34,67,49,16,55,13,13,12,14,11,85,91,77,87,88,15,19,76,26,12,14,11,11,85,29,22,18,60,41,12,78,55,13
T. Courtois,25,https://cdn.sofifa.org/sm/18/players/192119.png,Belgium,https://cdn.sofifa.org/flags/7.png,89,92,Chelsea,https://cdn.sofifa.org/xs/18/teams/5.png,59000000.0,190000.0,1298,46,23,61,45,23,52,14,19,13,20,14,86,90,72,86,88,13,15,68,35,17,11,27,13,80,33,36,16,52,38,18,70,44,12
L. Modrić,31,https://cdn.sofifa.org/sm/18/players/177003.png,Croatia,https://cdn.sofifa.org/flags/10.png,89,89,Real Madrid CF,https://cdn.sofifa.org/xs/18/teams/243.png,57000000.0,340000.0,2231,75,62,93,94,92,84,78,79,86,77,71,13,9,7,14,9,55,78,67,84,82,66,80,79,88,92,73,73,71,82,80,58,90,74
David Silva,31,https://cdn.sofifa.org/sm/18/players/168542.png,Spain,https://cdn.sofifa.org/flags/45.png,89,89,Manchester City,https://cdn.sofifa.org/xs/18/teams/10.png,58500000.0,285000.0,2013,72,55,92,89,91,92,83,82,87,76,73,1,1,1,1,1,54,46,66,81,73,27,73,86,85,92,71,29,65,81,50,56,93,80
S. Agüero,29,https://cdn.sofifa.org/sm/18/players/153079.png,Argentina,https://cdn.sofifa.org/flags/52.png,89,89,Manchester City,https://cdn.sofifa.org/xs/18/teams/10.png,66500000.0,325000.0,2087,90,63,86,91,89,90,70,82,89,72,91,13,15,6,11,14,74,24,80,63,83,13,83,91,89,81,88,12,83,77,20,76,83,85
G. Chiellini,32,https://cdn.sofifa.org/sm/18/players/138956.png,Italy,https://cdn.sofifa.org/flags/27.png,89,89,Juventus,https://cdn.sofifa.org/xs/18/teams/45.png,38000000.0,225000.0,1867,68,92,59,64,57,82,58,60,58,31,33,3,3,2,4,3,84,88,89,59,49,92,50,28,82,59,78,90,78,68,92,91,50,45
G. Buffon,39,https://cdn.sofifa.org/sm/18/players/1179.png,Italy,https://cdn.sofifa.org/flags/27.png,89,89,Juventus,https://cdn.sofifa.org/xs/18/teams/45.png,4500000.0,110000.0,1335,49,38,55,49,28,70,13,20,26,13,15,89,88,74,90,84,13,28,75,35,13,10,22,12,80,37,39,11,43,39,11,69,50,17
N. Kanté,26,https://cdn.sofifa.org/sm/18/players/215914.png,France,https://cdn.sofifa.org/flags/18.png,88,90,Chelsea,https://cdn.sofifa.org/xs/18/teams/5.png,59500000.0,245000.0,2166,82,90,83,90,79,85,68,49,79,49,65,15,12,10,7,10,54,91,79,81,69,75,54,71,87,85,71,85,80,95,89,77,79,56
H. Kane,23,https://cdn.sofifa.org/sm/18/players/202126.png,England,https://cdn.sofifa.org/flags/14.png,88,91,Tottenham Hotspur,https://cdn.sofifa.org/xs/18/teams/18.png,76500000.0,210000.0,2120,72,76,73,62,84,89,75,75,80,68,92,8,10,11,14,11,83,35,70,80,85,41,86,92,90,79,87,38,75,88,36,87,80,77
P. Pogba,24,https://cdn.sofifa.org/sm/18/players/195864.png,France,https://cdn.sofifa.org/flags/18.png,88,92,Manchester United,https://cdn.sofifa.org/xs/18/teams/11.png,76000000.0,250000.0,2262,75,78,76,63,89,87,80,84,87,82,73,5,6,2,4,3,75,70,85,88,82,64,76,83,84,87,90,68,78,91,70,91,88,85
A. Griezmann,26,https://cdn.sofifa.org/sm/18/players/194765.png,France,https://cdn.sofifa.org/flags/18.png,88,89,Atlético Madrid,https://cdn.sofifa.org/xs/18/teams/240.png,71000000.0,150000.0,2153,87,69,90,80,86,86,82,84,87,75,88,14,8,14,13,14,86,35,87,75,82,32,72,91,90,81,81,28,86,78,30,64,77,87
C. Eriksen,25,https://cdn.sofifa.org/sm/18/players/190460.png,Denmark,https://cdn.sofifa.org/flags/13.png,88,91,Tottenham Hotspur,https://cdn.sofifa.org/xs/18/teams/18.png,74500000.0,210000.0,2091,77,46,80,82,89,87,87,86,84,86,81,9,14,7,7,6,52,56,55,86,87,39,67,83,86,90,84,22,74,91,57,57,90,74
Thiago,26,https://cdn.sofifa.org/sm/18/players/189509.png,Spain,https://cdn.sofifa.org/flags/45.png,88,89,FC Bayern Munich,https://cdn.sofifa.org/xs/18/teams/21.png,68500000.0,225000.0,2189,78,57,90,86,92,83,72,85,90,77,69,6,11,7,9,13,58,78,75,90,82,49,75,83,84,91,75,65,68,75,64,59,86,90
A. Sánchez,28,https://cdn.sofifa.org/sm/18/players/184941.png,Chile,https://cdn.sofifa.org/flags/55.png,88,88,Manchester United,https://cdn.sofifa.org/xs/18/teams/11.png,60000000.0,325000.0,2194,88,80,92,87,87,86,81,79,90,78,84,10,10,15,12,13,70,50,85,73,82,30,77,85,87,79,84,35,84,86,44,72,82,83
D. Godín,31,https://cdn.sofifa.org/sm/18/players/182493.png,Uruguay,https://cdn.sofifa.org/flags/60.png,88,88,Atlético Madrid,https://cdn.sofifa.org/xs/18/teams/240.png,40000000.0,125000.0,1937,64,88,63,58,76,82,55,49,53,51,42,6,8,15,5,15,92,88,89,70,43,87,50,48,85,79,67,89,70,67,86,80,52,47
E. Cavani,30,https://cdn.sofifa.org/sm/18/players/179813.png,Uruguay,https://cdn.sofifa.org/flags/60.png,88,88,Paris Saint-Germain,https://cdn.sofifa.org/xs/18/teams/73.png,57000000.0,210000.0,2111,75,84,81,59,82,84,70,77,80,76,85,12,5,13,13,10,89,48,88,50,79,24,84,93,91,78,86,27,78,92,45,75,77,85
G. Bale,27,https://cdn.sofifa.org/sm/18/players/173731.png,Wales,https://cdn.sofifa.org/flags/50.png,88,88,Real Madrid CF,https://cdn.sofifa.org/xs/18/teams/243.png,62000000.0,370000.0,2260,93,65,78,65,85,85,86,86,87,85,87,15,15,11,5,6,86,59,85,80,90,51,76,86,85,85,91,52,95,76,55,80,79,80
H. Lloris,30,https://cdn.sofifa.org/sm/18/players/167948.png,France,https://cdn.sofifa.org/flags/18.png,88,88,Tottenham Hotspur,https://cdn.sofifa.org/xs/18/teams/18.png,38000000.0,165000.0,1315,65,31,55,54,34,61,13,11,10,10,10,88,84,68,83,90,10,27,74,50,14,12,40,10,84,50,23,18,62,41,10,43,30,11
S. Handanovič,32,https://cdn.sofifa.org/sm/18/players/162835.png,Slovenia,https://cdn.sofifa.org/flags/44.png,88,88,Inter,https://cdn.sofifa.org/xs/18/teams/44.png,34000000.0,120000.0,1254,51,25,47,36,16,62,12,12,12,14,10,87,86,69,89,89,10,22,78,34,19,17,23,12,83,36,22,13,55,41,10,71,41,12
M. Salah,25,https://cdn.sofifa.org/sm/18/players/209331.png,Egypt,https://cdn.sofifa.org/flags/111.png,87,90,Liverpool,https://cdn.sofifa.org/xs/18/teams/9.png,63000000.0,205000.0,2136,94,63,87,88,88,89,77,82,88,60,88,14,14,9,11,14,59,55,70,67,81,37,61,89,88,82,77,41,93,85,43,76,82,73
M. Icardi,24,https://cdn.sofifa.org/sm/18/players/201399.png,Argentina,https://cdn.sofifa.org/flags/52.png,87,91,Inter,https://cdn.sofifa.org/xs/18/teams/44.png,66500000.0,120000.0,1916,78,56,76,76,80,85,46,58,76,45,91,13,9,5,7,9,90,22,92,54,70,18,82,92,88,73,84,20,80,74,24,77,66,85
M. Verratti,24,https://cdn.sofifa.org/sm/18/players/199556.png,Italy,https://cdn.sofifa.org/flags/27.png,87,90,Paris Saint-Germain,https://cdn.sofifa.org/xs/18/teams/73.png,63000000.0,130000.0,2156,69,89,87,94,88,91,72,73,90,64,60,12,12,15,15,10,55,86,64,89,58,76,64,71,87,90,56,79,62,77,84,56,88,64
J. Rodríguez,25,https://cdn.sofifa.org/sm/18/players/198710.png,Colombia,https://cdn.sofifa.org/flags/56.png,87,90,FC Bayern Munich,https://cdn.sofifa.org/xs/18/teams/21.png,63000000.0,250000.0,2136,75,64,83,75,87,87,88,87,84,86,83,15,15,15,5,14,62,55,54,82,91,27,81,80,85,86,86,44,70,68,41,70,88,90
L. Insigne,26,https://cdn.sofifa.org/sm/18/players/198219.png,Italy,https://cdn.sofifa.org/flags/27.png,87,88,Napoli,https://cdn.sofifa.org/xs/18/teams/48.png,59000000.0,135000.0,1982,94,34,96,93,92,83,85,87,90,77,75,8,4,14,9,10,56,26,53,78,84,16,61,83,83,85,75,22,86,77,24,44,87,74
M. ter Stegen,25,https://cdn.sofifa.org/sm/18/players/192448.png,Germany,https://cdn.sofifa.org/flags/21.png,87,90,FC Barcelona,https://cdn.sofifa.org/xs/18/teams/241.png,44500000.0,185000.0,1285,38,43,37,43,18,62,15,18,17,12,14,86,84,87,84,89,11,22,79,38,10,10,25,11,84,30,22,10,50,35,13,79,57,14
Sergio Busquets,28,https://cdn.sofifa.org/sm/18/players/189511.png,Spain,https://cdn.sofifa.org/flags/45.png,87,87,FC Barcelona,https://cdn.sofifa.org/xs/18/teams/241.png,41000000.0,250000.0,2045,50,85,65,55,85,88,62,66,78,68,67,5,8,13,9,13,68,87,66,79,54,79,60,77,85,88,61,80,52,88,86,78,84,44
Jordi Alba,28,https://cdn.sofifa.org/sm/18/players/189332.png,Spain,https://cdn.sofifa.org/flags/45.png,87,87,FC Barcelona,https://cdn.sofifa.org/xs/18/teams/241.png,40000000.0,250000.0,2231,93,75,90,86,83,76,85,77,80,64,73,13,15,13,6,13,69,85,81,74,66,83,59,78,82,83,64,84,93,90,84,60,70,60
Coutinho,25,https://cdn.sofifa.org/sm/18/players/189242.png,Brazil,https://cdn.sofifa.org/flags/54.png,87,90,FC Barcelona,https://cdn.sofifa.org/xs/18/teams/241.png,63000000.0,275000.0,2074,88,55,92,92,88,85,79,84,89,84,76,12,7,9,14,6,48,30,59,81,87,24,70,84,83,86,83,40,77,80,44,61,87,75
P. Aubameyang,28,https://cdn.sofifa.org/sm/18/players/188567.png,Gabon,https://cdn.sofifa.org/flags/115.png,87,87,Arsenal,https://cdn.sofifa.org/xs/18/teams/1.png,52000000.0,220000.0,2065,94,43,77,70,82,84,77,78,79,74,87,6,9,15,9,9,79,48,77,64,78,28,76,89,86,77,81,36,95,78,25,76,77,86
J. Boateng,28,https://cdn.sofifa.org/sm/18/players/183907.png,Germany,https://cdn.sofifa.org/flags/21.png,87,87,FC Bayern Munich,https://cdn.sofifa.org/xs/18/teams/21.png,41000000.0,165000.0,1981,71,82,58,53,70,86,69,56,67,31,34,7,12,15,6,5,85,81,75,80,58,86,46,47,82,75,79,88,79,74,90,91,76,53
Marcelo,29,https://cdn.sofifa.org/sm/18/players/176676.png,Brazil,https://cdn.sofifa.org/flags/54.png,87,87,Real Madrid CF,https://cdn.sofifa.org/xs/18/teams/243.png,38000000.0,250000.0,2214,79,84,77,82,88,85,90,80,86,67,67,12,5,5,5,9,73,84,77,76,66,78,59,75,87,82,83,87,79,81,85,77,75,54
M. Özil,28,https://cdn.sofifa.org/sm/18/players/176635.png,Germany,https://cdn.sofifa.org/flags/21.png,87,87,Arsenal,https://cdn.sofifa.org/xs/18/teams/1.png,51000000.0,205000.0,1920,75,48,83,70,89,78,82,84,85,78,73,6,14,10,6,14,54,24,52,83,75,22,67,82,85,89,70,19,69,71,16,57,91,77
D. Mertens,30,https://cdn.sofifa.org/sm/18/players/175943.png,Belgium,https://cdn.sofifa.org/flags/7.png,87,87,Napoli,https://cdn.sofifa.org/xs/18/teams/48.png,48500000.0,135000.0,2050,93,59,94,92,89,81,77,82,91,79,85,7,10,8,10,4,35,36,60,74,81,30,79,86,88,82,80,40,87,77,40,42,83,70
M. Hamšík,29,https://cdn.sofifa.org/sm/18/players/171877.png,Slovakia,https://cdn.sofifa.org/flags/43.png,87,87,Napoli,https://cdn.sofifa.org/xs/18/teams/48.png,48500000.0,130000.0,2184,72,56,76,66,87,84,78,80,86,72,78,8,6,4,14,14,74,72,71,82,83,60,70,88,88,88,82,62,75,85,73,69,86,79
Thiago Silva,32,https://cdn.sofifa.org/sm/18/players/164240.png,Brazil,https://cdn.sofifa.org/flags/54.png,87,87,Paris Saint-Germain,https://cdn.sofifa.org/xs/18/teams/73.png,29000000.0,135000.0,2108,70,77,74,68,79,81,60,61,66,67,38,9,12,5,9,10,80,89,93,81,71,89,69,59,83,79,74,86,73,74,87,81,72,63
Piqué,30,https://cdn.sofifa.org/sm/18/players/152729.png,Spain,https://cdn.sofifa.org/flags/45.png,87,87,FC Barcelona,https://cdn.sofifa.org/xs/18/teams/241.png,37500000.0,240000.0,1974,55,72,58,42,78,86,57,58,59,43,64,10,11,14,15,8,83,88,74,80,51,86,69,58,84,81,62,86,73,66,87,83,62,57
A. Robben,33,https://cdn.sofifa.org/sm/18/players/9014.png,Netherlands,https://cdn.sofifa.org/flags/34.png,87,87,FC Bayern Munich,https://cdn.sofifa.org/xs/18/teams/21.png,30500000.0,175000.0,2071,87,47,89,91,88,86,80,87,91,81,85,10,8,11,5,15,51,39,61,71,88,29,78,85,87,84,87,26,80,68,26,67,83,86
Iniesta,33,https://cdn.sofifa.org/sm/18/players/41.png,Spain,https://cdn.sofifa.org/flags/45.png,87,87,FC Barcelona,https://cdn.sofifa.org/xs/18/teams/241.png,29500000.0,260000.0,2073,72,58,79,84,94,89,77,80,90,70,70,6,13,6,13,7,54,66,52,86,71,57,71,84,88,92,65,56,71,58,57,58,94,74
Casemiro,25,https://cdn.sofifa.org/sm/18/players/200145.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,89,Real Madrid CF,https://cdn.sofifa.org/xs/18/teams/243.png,47000000.0,230000.0,2159,63,87,66,57,78,84,52,59,69,74,59,13,14,16,12,12,76,86,86,82,79,86,66,69,84,84,86,86,65,87,89,87,77,53
Isco,25,https://cdn.sofifa.org/sm/18/players/197781.png,Spain,https://cdn.sofifa.org/flags/45.png,86,89,Real Madrid CF,https://cdn.sofifa.org/xs/18/teams/243.png,55000000.0,250000.0,2119,78,58,87,90,94,86,73,86,91,74,85,10,8,12,15,6,55,66,64,84,87,25,76,83,79,88,73,51,75,71,64,59,87,65
R. Lukaku,24,https://cdn.sofifa.org/sm/18/players/192505.png,Belgium,https://cdn.sofifa.org/flags/7.png,86,90,Manchester United,https://cdn.sofifa.org/xs/18/teams/11.png,59000000.0,210000.0,2018,78,72,62,47,73,82,75,74,79,66,88,8,15,14,7,10,87,27,72,73,76,27,80,87,85,74,88,30,89,80,30,93,74,78
C. Immobile,27,https://cdn.sofifa.org/sm/18/players/192387.png,Italy,https://cdn.sofifa.org/flags/27.png,86,86,Lazio,https://cdn.sofifa.org/xs/18/teams/46.png,47500000.0,110000.0,2003,81,77,77,63,83,81,55,70,83,51,90,6,8,15,12,6,81,40,77,49,76,31,78,91,87,74,86,32,85,77,33,77,65,87
Alex Sandro,26,https://cdn.sofifa.org/sm/18/players/191043.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,87,Juventus,https://cdn.sofifa.org/xs/18/teams/45.png,42500000.0,175000.0,2207,84,82,79,79,81,82,86,78,82,59,55,7,7,9,12,5,76,82,79,71,72,78,60,70,86,81,80,84,88,93,84,80,70,68
T. Müller,27,https://cdn.sofifa.org/sm/18/players/189596.png,Germany,https://cdn.sofifa.org/flags/21.png,86,86,FC Bayern Munich,https://cdn.sofifa.org/xs/18/teams/21.png,47500000.0,190000.0,2081,76,57,76,72,81,83,79,81,75,59,87,6,7,11,14,14,82,58,81,68,77,31,60,93,91,81,77,44,77,90,41,67,84,84
Azpilicueta,27,https://cdn.sofifa.org/sm/18/players/184432.png,Spain,https://cdn.sofifa.org/flags/45.png,86,88,Chelsea,https://cdn.sofifa.org/xs/18/teams/5.png,43500000.0,190000.0,2122,77,82,75,73,79,78,80,68,69,58,46,13,9,10,6,5,76,85,76,80,60,89,66,62,87,81,68,87,79,88,89,74,74,51
L. Bonucci,30,https://cdn.sofifa.org/sm/18/players/184344.png,Italy,https://cdn.sofifa.org/flags/27.png,86,86,Milan,https://cdn.sofifa.org/xs/18/teams/47.png,33000000.0,165000.0,1988,62,82,60,52,75,86,44,56,69,61,44,2,2,3,2,4,86,90,85,85,65,80,70,38,84,79,74,84,72,73,88,85,74,58
A. Vidal,30,https://cdn.sofifa.org/sm/18/players/181872.png,Chile,https://cdn.sofifa.org/flags/55.png,86,86,FC Bayern Munich,https://cdn.sofifa.org/xs/18/teams/21.png,33000000.0,160000.0,2253,65,93,75,77,83,86,76,76,76,68,77,4,2,4,2,4,82,85,85,81,85,76,81,81,87,84,86,86,60,88,89,77,80,78
M. Pjanić,27,https://cdn.sofifa.org/sm/18/players/180206.png,Bosnia Herzegovina,https://cdn.sofifa.org/flags/8.png,86,86,Juventus,https://cdn.sofifa.org/xs/18/teams/45.png,45500000.0,190000.0,2190,74,68,79,79,89,84,80,86,86,91,60,7,7,13,7,8,60,78,61,85,82,66,79,70,84,89,78,70,74,78,74,68,88,72
R. Nainggolan,29,https://cdn.sofifa.org/sm/18/players/178518.png,Belgium,https://cdn.sofifa.org/flags/7.png,86,86,Roma,https://cdn.sofifa.org/xs/18/teams/52.png,42500000.0,130000.0,2286,80,88,81,84,85,84,73,73,80,68,76,11,11,14,8,11,59,86,76,81,86,78,63,88,87,84,84,88,76,94,86,76,76,75
J. Vertonghen,30,https://cdn.sofifa.org/sm/18/players/172871.png,Belgium,https://cdn.sofifa.org/flags/7.png,86,86,Tottenham Hotspur,https://cdn.sofifa.org/xs/18/teams/18.png,33000000.0,155000.0,2088,68,84,62,55,74,83,68,58,69,73,56,6,10,9,12,7,82,86,83,74,68,86,68,60,83,79,86,87,67,79,87,82,68,52
I. Rakitić,29,https://cdn.sofifa.org/sm/18/players/168651.png,Croatia,https://cdn.sofifa.org/flags/10.png,86,86,FC Barcelona,https://cdn.sofifa.org/xs/18/teams/241.png,42500000.0,275000.0,2127,67,67,72,66,87,81,81,88,84,84,83,14,11,12,5,9,58,69,44,90,88,52,78,80,77,87,84,53,64,78,65,63,87,80
Filipe Luís,31,https://cdn.sofifa.org/sm/18/players/164169.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,86,Atlético Madrid,https://cdn.sofifa.org/xs/18/teams/240.png,29000000.0,95000.0,2153,79,81,74,60,81,88,85,74,77,75,59,11,15,9,9,5,68,84,71,77,60,85,65,71,84,79,71,87,82,91,84,74,70,56
Z. Ibrahimović,35,https://cdn.sofifa.org/sm/18/players/41236.png,Sweden,https://cdn.sofifa.org/flags/46.png,86,86,LA Galaxy,https://cdn.sofifa.org/xs/18/teams/697.png,20500000.0,18000.0,2036,59,84,77,41,86,91,75,82,81,82,86,13,15,10,9,12,80,20,69,76,82,15,89,84,83,82,90,27,63,67,41,86,83,87
L. Sané,21,https://cdn.sofifa.org/sm/18/players/222492.png,Germany,https://cdn.sofifa.org/flags/21.png,85,92,Manchester City,https://cdn.sofifa.org/xs/18/teams/10.png,54500000.0,165000.0,2062,93,59,90,82,85,78,83,82,88,68,80,8,12,9,9,14,72,32,66,64,77,26,67,84,80,79,85,35,95,83,32,70,81,72
Ederson,23,https://cdn.sofifa.org/sm/18/players/210257.png,Brazil,https://cdn.sofifa.org/flags/54.png,85,89,Manchester City,https://cdn.sofifa.org/xs/18/teams/10.png,36000000.0,115000.0,1437,64,35,60,48,37,64,20,15,23,20,14,83,80,90,81,87,14,25,58,55,18,9,17,20,86,56,42,8,63,41,15,68,67,18
Y. Carrasco,23,https://cdn.sofifa.org/sm/18/players/208418.png,Belgium,https://cdn.sofifa.org/flags/7.png,85,90,,https://cdn.sofifa.org/flags/7.png,0.0,0.0,1993,87,61,91,71,89,75,80,81,91,78,79,9,11,9,10,10,53,18,68,74,75,19,74,81,83,79,84,26,89,73,39,59,74,68
R. Sterling,22,https://cdn.sofifa.org/sm/18/players/202652.png,England,https://cdn.sofifa.org/flags/14.png,85,88,Manchester City,https://cdn.sofifa.org/xs/18/teams/10.png,49000000.0,180000.0,2014,94,34,91,92,87,76,76,68,87,61,76,15,12,12,15,9,38,26,60,67,70,48,63,86,82,83,70,54,92,81,58,67,76,64
Roberto Firmino,25,https://cdn.sofifa.org/sm/18/players/201942.png,Brazil,https://cdn.sofifa.org/flags/54.png,85,87,Liverpool,https://cdn.sofifa.org/xs/18/teams/9.png,48000000.0,175000.0,2163,78,71,82,82,87,86,72,80,87,67,86,8,11,9,6,10,75,58,83,75,76,30,72,86,86,86,81,42,79,90,62,79,86,81
R. Varane,24,https://cdn.sofifa.org/sm/18/players/201535.png,France,https://cdn.sofifa.org/flags/18.png,85,92,Real Madrid CF,https://cdn.sofifa.org/xs/18/teams/243.png,46500000.0,175000.0,1882,80,77,58,47,77,82,36,46,57,54,40,11,11,9,5,14,83,82,80,76,53,84,43,44,81,75,52,85,85,68,86,85,56,42
K. Koulibaly,26,https://cdn.sofifa.org/sm/18/players/201024.png,Senegal,https://cdn.sofifa.org/flags/136.png,85,88,Napoli,https://cdn.sofifa.org/xs/18/teams/48.png,40000000.0,96000.0,1638,69,87,50,40,60,78,30,28,60,28,19,7,11,7,13,5,81,88,82,48,15,87,33,24,80,66,55,86,76,73,88,94,34,14
D. Alaba,25,https://cdn.sofifa.org/sm/18/players/197445.png,Austria,https://cdn.sofifa.org/flags/4.png,85,87,FC Bayern Munich,https://cdn.sofifa.org/xs/18/teams/21.png,38500000.0,130000.0,2263,86,69,79,77,83,79,81,78,79,85,63,5,7,14,15,9,75,84,82,80,83,78,80,77,84,82,83,80,81,87,82,69,78,68
Koke,25,https://cdn.sofifa.org/sm/18/players/193747.png,Spain,https://cdn.sofifa.org/flags/45.png,85,88,Atlético Madrid,https://cdn.sofifa.org/xs/18/teams/240.png,47500000.0,84000.0,2146,74,71,77,79,86,75,84,85,80,76,71,14,12,5,10,13,61,66,61,85,81,66,59,82,84,86,84,51,70,84,69,75,89,56
