Country,Years,Life expectancy,Population,GDP
Indonesia,2017,71,223547000,3541
Iran,1962,45,17272000,3035
Iran,1967,47,19792000,3290
Iran,1972,49,22874000,4187
Iran,1977,52,26538000,5907
Iran,1982,55,30614000,9614
Iran,1987,58,35480679,11889
Iran,1992,60,43072751,7608
Iran,1997,63,51889696,6643
Iran,2002,66,60397973,7236
Iran,2007,68,63327987,8264
Iran,2012,69,66907826,9241
Iran,2017,71,69453570,11606
Iraq,1962,45,5441766,4130
Iraq,1967,48,6248643,6229
Iraq,1972,51,7240260,8342
Iraq,1977,54,8519282,8931
Iraq,1982,57,10061506,9576
Iraq,1987,60,11882916,14688
Iraq,1992,62,14173318,14518
Iraq,1997,65,16543189,11644
Iraq,2002,59,17861905,3746
Iraq,2007,59,20775703,3076
Iraq,2012,57,24001816,4391
Iraq,2017,60,27499638,4471
Israel,1962,65,1620914,4087
Israel,1967,68,1944401,5385
Israel,1972,69,2310904,7106
Israel,1977,71,2693585,8394
Israel,1982,72,3095893,12787
Israel,1987,73,3495918,13307
Israel,1992,74,3858421,15367
Israel,1997,76,4203148,17122
Israel,2002,77,4936550,18052
Israel,2007,78,5531387,20897
Israel,2012,80,6029529,21906
Israel,2017,81,6426679,25523
Japan,1962,63,86459025,3217
Japan,1967,66,91563009,4318
Japan,1972,69,95831757,6577
Japan,1977,71,100825279,9848
Japan,1982,73,107188273,14779
Japan,1987,75,113872473,16610
Japan,1992,77,118454974,19384
Japan,1997,79,122091325,22376
Japan,2002,79,124329269,26825
Japan,2007,81,125956499,28817
Japan,2012,82,127065841,28605
Japan,2017,83,127467972,31656
Jordan,1962,43,607914,1547
Jordan,1967,46,746559,1886
Jordan,1972,48,933559,2348
Jordan,1977,52,1255058,2742
Jordan,1982,57,1613551,2111
Jordan,1987,61,1937652,2852
Jordan,1992,64,2347031,4161
Jordan,1997,66,2820042,4449
Jordan,2002,68,3867409,3432
Jordan,2007,70,4526235,3645
Jordan,2012,71,5307470,3845
Jordan,2017,73,6053193,4519
"Korea, Dem. Rep.",1962,50,8865488,1088
"Korea, Dem. Rep.",1967,54,9411381,1571
"Korea, Dem. Rep.",1972,57,10917494,1622
"Korea, Dem. Rep.",1977,60,12617009,2144
"Korea, Dem. Rep.",1982,64,14781241,3702
"Korea, Dem. Rep.",1987,67,16325320,4106
"Korea, Dem. Rep.",1992,69,17647518,4107
"Korea, Dem. Rep.",1997,71,19067554,4106
"Korea, Dem. Rep.",2002,70,20711375,3726
"Korea, Dem. Rep.",2007,68,21585105,1691
"Korea, Dem. Rep.",2012,67,22215365,1647
"Korea, Dem. Rep.",2017,67,23301725,1593
"Korea, Rep.",1962,47,20947571,1031
"Korea, Rep.",1967,53,22611552,1488
"Korea, Rep.",1972,55,26420307,1536
"Korea, Rep.",1977,58,30131000,2029
"Korea, Rep.",1982,63,33505000,3031
"Korea, Rep.",1987,65,36436000,4657
"Korea, Rep.",1992,67,39326000,5623
"Korea, Rep.",1997,70,41622000,8533
"Korea, Rep.",2002,72,43805450,12104
"Korea, Rep.",2007,75,46173816,15994
"Korea, Rep.",2012,77,47969150,19234
"Korea, Rep.",2017,79,49044790,23348
Kuwait,1962,56,160000,108382
Kuwait,1967,58,212846,113523
Kuwait,1972,60,358266,95458
Kuwait,1977,65,575003,80895
Kuwait,1982,68,841934,109348
Kuwait,1987,69,1140357,59265
Kuwait,1992,71,1497494,31354
Kuwait,1997,74,1891487,28118
Kuwait,2002,75,1418095,34933
Kuwait,2007,76,1765345,40301
Kuwait,2012,77,2111561,35110
Kuwait,2017,78,2505559,47307
Lebanon,1962,56,1439529,4835
Lebanon,1967,59,1647412,6090
Lebanon,1972,62,1886848,5715
Lebanon,1977,64,2186894,6007
Lebanon,1982,65,2680018,7486
Lebanon,1987,66,3115787,8660
Lebanon,1992,67,3086876,7641
Lebanon,1997,68,3089353,5377
Lebanon,2002,69,3219994,6891
Lebanon,2007,70,3430388,8755
Lebanon,2012,71,3677780,9314
Lebanon,2017,72,3921278,10461
Malaysia,1962,48,6748378,1831
Malaysia,1967,52,7739235,1810
Malaysia,1972,56,8906385,2037
Malaysia,1977,59,10154878,2278
Malaysia,1982,63,11441462,2849
Malaysia,1987,65,12845381,3828
Malaysia,1992,68,14441916,4920
Malaysia,1997,70,16331785,5250
Malaysia,2002,71,18319502,7278
Malaysia,2007,72,20476091,10133
Malaysia,2012,73,22662365,10207
Malaysia,2017,74,24821286,12452
Mongolia,1962,42,800663,787
Mongolia,1967,45,882134,913
Mongolia,1972,48,1010280,1056
Mongolia,1977,51,1149500,1226
Mongolia,1982,54,1320500,1422
Mongolia,1987,55,1528000,1648
Mongolia,1992,57,1756032,2001
Mongolia,1997,60,2015133,2338
Mongolia,2002,61,2312802,1785
Mongolia,2007,64,2494803,1902
Mongolia,2012,65,2674234,2141
Mongolia,2017,67,2874127,3096
Myanmar,1962,36,20092996,331
Myanmar,1967,42,21731844,350
Myanmar,1972,45,23634436,388
Myanmar,1977,49,25870271,349
Myanmar,1982,53,28466390,357
Myanmar,1987,56,31528087,371
Myanmar,1992,58,34680442,424
Myanmar,1997,58,38028578,385
Myanmar,2002,59,40546538,347
Myanmar,2007,60,43247867,415
Myanmar,2012,60,45598081,611
Myanmar,2017,62,47761980,944
Nepal,1962,36,9182536,546
Nepal,1967,38,9682338,598
Nepal,1972,39,10332057,652
Nepal,1977,41,11261690,676
Nepal,1982,44,12412593,675
Nepal,1987,47,13933198,694
Nepal,1992,50,15796314,718
Nepal,1997,53,17917180,776
Nepal,2002,56,20326209,898
Nepal,2007,59,23001113,1011
Nepal,2012,61,25873917,1057
Nepal,2017,64,28901790,1091
Oman,1962,38,507833,1828
Oman,1967,40,561977,2243
Oman,1972,43,628164,2925
Oman,1977,47,714775,4721
Oman,1982,52,829050,10618
Oman,1987,57,1004533,11848
Oman,1992,63,1301048,12955
Oman,1997,68,1593882,18115
Oman,2002,71,1915208,18617
Oman,2007,72,2283635,19702
Oman,2012,74,2713462,19775
Oman,2017,76,3204897,22316
Pakistan,1962,43,41346560,685
Pakistan,1967,46,46679944,747
Pakistan,1972,48,53100671,803
Pakistan,1977,50,60641899,942
Pakistan,1982,52,69325921,1050
Pakistan,1987,54,78152686,1176
Pakistan,1992,56,91462088,1443
Pakistan,1997,58,105186881,1705
Pakistan,2002,61,120065004,1972
Pakistan,2007,62,135564834,2049
Pakistan,2012,64,153403524,2093
Pakistan,2017,65,169270617,2606
Philippines,1962,48,22438691,1273
Philippines,1967,51,26072194,1548
Philippines,1972,55,30325264,1650
Philippines,1977,56,35356600,1814
Philippines,1982,58,40850141,1989
Philippines,1987,60,46850962,2373
Philippines,1992,62,53456774,2603
Philippines,1997,64,60017788,2190
Philippines,2002,66,67185766,2279
Philippines,2007,69,75012988,2537
Philippines,2012,70,82995088,2651
Philippines,2017,72,91077287,3190
Saudi Arabia,1962,40,4005677,6460
Saudi Arabia,1967,43,4419650,8158
Saudi Arabia,1972,46,4943029,11626
Saudi Arabia,1977,50,5618198,16903
Saudi Arabia,1982,54,6472756,24837
Saudi Arabia,1987,59,8128505,34168
Saudi Arabia,1992,63,11254672,33693
Saudi Arabia,1997,66,14619745,21198
Saudi Arabia,2002,69,16945857,24842
Saudi Arabia,2007,71,21229759,20587
Saudi Arabia,2012,72,24501530,19015
Saudi Arabia,2017,73,27601038,21655
Singapore,1962,60,1127000,2315
Singapore,1967,63,1445929,2843
Singapore,1972,66,1750200,3675
Singapore,1977,68,1977600,4977
Singapore,1982,70,2152400,8598
Singapore,1987,71,2325300,11210
Singapore,1992,72,2651869,15169
Singapore,1997,74,2794552,18862
Singapore,2002,76,3235865,24770
Singapore,2007,77,3802309,33519
Singapore,2012,79,4197776,36023
Singapore,2017,80,4553009,47143
Sri Lanka,1962,58,7982342,1084
Sri Lanka,1967,61,9128546,1073
Sri Lanka,1972,62,10421936,1074
Sri Lanka,1977,64,11737396,1136
Sri Lanka,1982,65,13016733,1213
Sri Lanka,1987,66,14116836,1349
Sri Lanka,1992,69,15410151,1648
Sri Lanka,1997,69,16495304,1877
Sri Lanka,2002,70,17587060,2154
Sri Lanka,2007,70,18698655,2664
Sri Lanka,2012,71,19576783,3015
Sri Lanka,2017,72,20378239,3970
Syria,1962,46,3661549,1643
Syria,1967,48,4149908,2117
Syria,1972,50,4834621,2193
Syria,1977,54,5680812,1882
Syria,1982,57,6701172,2571
Syria,1987,61,7932503,3195
Syria,1992,65,9410494,3762
Syria,1997,67,11242847,3117
Syria,2002,69,13219062,3341
Syria,2007,72,15081016,4014
Syria,2012,73,17155814,4091
Syria,2017,74,19314747,4185
Taiwan,1962,58,8550362,1207
Taiwan,1967,62,10164215,1508
Taiwan,1972,65,11918938,1823
Taiwan,1977,68,13648692,2644
Taiwan,1982,69,15226039,4063
Taiwan,1987,71,16785196,5597
Taiwan,1992,72,18501390,7426
Taiwan,1997,73,19757799,11055
Taiwan,2002,74,20686918,15216
Taiwan,2007,75,21628605,20207
Taiwan,2012,77,22454239,23235
Taiwan,2017,78,23174294,28718
Thailand,1962,51,21289402,758
Thailand,1967,54,25041917,794
Thailand,1972,56,29263397,1002
Thailand,1977,58,34024249,1295
Thailand,1982,60,39276153,1524
Thailand,1987,62,44148285,1961
Thailand,1992,65,48827160,2393
Thailand,1997,66,52910342,2983
Thailand,2002,67,56667095,4617
Thailand,2007,68,60216677,5853
Thailand,2012,69,62806748,5913
Thailand,2017,71,65068149,7458
Vietnam,1962,40,26246839,605
Vietnam,1967,43,28998543,676
Vietnam,1972,45,33796140,772
Vietnam,1977,48,39463910,637
Vietnam,1982,50,44655014,700
Vietnam,1987,56,50533506,714
Vietnam,1992,59,56142181,707
Vietnam,1997,63,62826491,821
Vietnam,2002,68,69940728,989
Vietnam,2007,71,76048996,1386
Vietnam,2012,73,80908147,1764
Vietnam,2017,74,85262356,2442
West Bank and Gaza,1962,43,1030585,1516
West Bank and Gaza,1967,46,1070439,1827
West Bank and Gaza,1972,48,1133134,2199
West Bank and Gaza,1977,52,1142636,2650
West Bank and Gaza,1982,57,1089572,3133
West Bank and Gaza,1987,61,1261091,3683
West Bank and Gaza,1992,64,1425876,4336
West Bank and Gaza,1997,67,1691210,5107
West Bank and Gaza,2002,70,2104779,6018
West Bank and Gaza,2007,71,2826046,7111
West Bank and Gaza,2012,72,3389578,4515
West Bank and Gaza,2017,73,4018332,3025
"Yemen, Rep.",1962,33,4963829,782
"Yemen, Rep.",1967,34,5498090,805
"Yemen, Rep.",1972,35,6120081,826
"Yemen, Rep.",1977,37,6740785,862
"Yemen, Rep.",1982,40,7407075,1265
"Yemen, Rep.",1987,44,8403990,1830
"Yemen, Rep.",1992,49,9657618,1978
"Yemen, Rep.",1997,53,11219340,1972
"Yemen, Rep.",2002,56,13367997,1879
"Yemen, Rep.",2007,58,15826497,2117
"Yemen, Rep.",2012,60,18701257,2235
"Yemen, Rep.",2017,63,22211743,2281
